fiber_id,customer_id,installation_date,status,speed_mbps
27155,1839,2024-09-24,Active,300
27156,2765,2026-07-19,Active,100
27157,1394,2025-01-04,Suspended,500
27158,1644,2024-02-15,Active,100
27159,1532,2024-07-20,Suspended,300
27160,2672,2025-01-01,Active,150
27161,1080,2024-08-01,Active,500
27162,2296,2025-08-22,Active,500
27163,2214,2025-05-26,Active,1000
27164,1236,2025-03-15,Suspended,150
27165,2002,2026-05-29,Active,200
27166,2217,2024-04-19,Active,500
27167,2012,2025-04-25,Active,500
27168,2543,2025-07-17,Active,300
27169,2394,2025-09-05,Active,50
27170,2714,2026-03-30,Active,150
27171,1484,2025-07-19,Active,300
27172,1324,2025-08-26,Active,1000
27173,1642,2024-12-03,Active,150
27174,1025,2026-02-08,Active,300
27175,1403,2025-12-23,Active,1000
27176,1547,2024-04-06,Active,1000
27177,1564,2024-08-25,Active,100
27178,1546,2024-02-22,Active,50
27179,1523,2025-08-21,Active,100
27180,2006,2026-03-24,Active,500
27181,1680,2025-05-04,Active,150
27182,2800,2025-09-25,Active,300
27183,1282,2025-01-20,Active,200
27184,1164,2026-05-21,Active,300
27185,1534,2026-02-13,Suspended,50
27186,1082,2025-06-13,Suspended,50
27187,1996,2024-11-14,Active,150
27188,1978,2025-02-20,Suspended,300
27189,2465,2026-07-01,Active,300
27190,1084,2025-06-17,Active,50
27191,1177,2026-01-22,Active,300
27192,2333,2025-08-22,Suspended,100
27193,1698,2023-12-13,Suspended,300
27194,2225,2024-05-12,Active,200
27195,2476,2024-11-09,Active,500
27196,2606,2026-06-11,Active,200
27197,1026,2025-09-26,Active,150
27198,2635,2024-09-24,Active,100
27199,2595,2025-12-12,Active,150
27200,2150,2025-11-05,Suspended,50
27201,2204,2025-01-06,Active,500
27202,2248,2026-03-27,Active,200
27203,2597,2026-06-05,Active,300
27204,1606,2024-11-07,Active,1000
27205,1213,2024-10-21,Active,100
27206,2409,2024-08-21,Active,1000
27207,1904,2024-07-19,Active,150
27208,2497,2025-08-24,Active,500
27209,1533,2024-04-12,Active,100
27210,2154,2025-08-21,Active,200
27211,1958,2024-06-12,Active,300
27212,2663,2024-06-10,Active,200
27213,1748,2026-07-19,Suspended,1000
27214,2579,2026-04-12,Active,150
27215,2700,2026-01-08,Active,50
27216,1683,2025-11-30,Active,300
27217,2749,2025-06-27,Active,1000
27218,1224,2023-12-15,Active,1000
27219,2193,2024-11-25,Active,1000
27220,1074,2024-07-10,Active,100
27221,1233,2026-02-02,Active,500
27222,2502,2026-01-15,Active,50
27223,2413,2025-03-28,Active,500
27224,1498,2024-07-15,Suspended,150
27225,2261,2025-07-24,Active,50
27226,1252,2026-03-19,Active,500
27227,1028,2024-03-04,Active,500
27228,1910,2024-05-09,Active,500
27229,1795,2024-07-27,Active,300
27230,2122,2024-12-18,Active,50
27231,2324,2024-05-14,Active,200
27232,1157,2024-09-26,Active,200
27233,1777,2025-02-16,Active,150
27234,1144,2024-04-11,Active,100
27235,2520,2026-07-11,Active,100
27236,2034,2024-11-19,Suspended,200
27237,1576,2024-05-01,Suspended,50
27238,1208,2023-12-18,Suspended,150
27239,1937,2026-03-16,Active,100
27240,1057,2025-11-11,Active,1000
27241,2215,2026-04-28,Active,50
27242,1572,2023-12-05,Active,200
27243,2240,2026-05-08,Active,150
27244,1852,2024-12-11,Suspended,1000
27245,1188,2026-08-04,Active,50
27246,2626,2025-08-05,Active,300
27247,1567,2025-05-03,Active,1000
27248,1464,2024-12-16,Suspended,50
27249,1079,2025-11-12,Active,1000
27250,1397,2024-09-25,Active,200
27251,2575,2025-05-19,Active,200
27252,1981,2026-06-10,Active,1000
27253,2647,2025-11-01,Active,100
27254,2654,2025-08-29,Active,50
27255,1151,2024-05-05,Active,200
27256,2721,2025-04-29,Active,1000
27257,1205,2026-02-13,Active,300
27258,1192,2025-06-15,Active,50
27259,2740,2025-07-27,Active,1000
27260,2685,2024-06-25,Active,500
27261,1398,2024-04-14,Active,200
27262,1371,2026-07-15,Active,500
