registry_id,customer_id,device_id,registered_at
19101,1134,18005,2025-11-03
19102,1041,18006,2026-06-27
19103,2152,18011,2026-05-21
19104,1514,18056,2024-12-13
19105,1321,18035,2026-01-13
19106,2669,18059,2025-06-09
19107,1516,18015,2025-11-03
19108,1383,18002,2024-05-18
19109,2165,18020,2026-03-21
19110,2655,18063,2026-06-16
19111,1104,18020,2025-01-20
19112,1378,18060,2026-05-13
19113,1347,18028,2024-07-21
19114,2324,18024,2025-12-12
19115,2797,18043,2025-01-03
19116,2783,18077,2025-10-12
19117,2259,18063,2024-09-20
19118,1665,18052,2026-07-23
19119,2472,18020,2025-09-29
19120,2521,18024,2025-10-27
19121,1857,18009,2024-03-09
19122,2004,18017,2025-04-12
19123,1845,18029,2026-02-15
19124,1127,18071,2025-02-26
19125,2462,18012,2024-03-25
19126,1159,18021,2024-04-27
19127,2692,18001,2026-02-17
19128,2760,18069,2025-10-03
19129,1089,18031,2024-08-04
19130,1302,18005,2025-04-14
19131,2620,18040,2026-02-22
19132,2178,18001,2026-03-15
19133,2492,18076,2025-11-14
19134,2134,18004,2024-08-25
19135,1769,18002,2024-06-12
19136,1084,18024,2025-02-27
19137,1716,18007,2025-02-26
19138,1309,18043,2025-08-10
19139,2440,18062,2025-09-03
19140,1602,18019,2025-11-04
19141,1810,18019,2025-08-01
19142,2136,18045,2024-09-29
19143,1301,18040,2024-04-28
19144,2010,18006,2024-11-25
19145,2308,18011,2024-09-03
19146,2350,18013,2025-11-25
19147,1812,18059,2024-05-03
19148,1303,18019,2023-12-12
19149,1429,18077,2024-12-10
19150,1038,18034,2025-02-01
19151,2203,18031,2025-10-20
19152,2015,18054,2024-05-10
19153,2026,18002,2025-10-30
19154,2365,18053,2024-11-14
19155,1098,18006,2024-10-31
19156,1369,18037,2026-05-21
19157,2112,18027,2025-05-01
19158,2249,18010,2025-03-12
19159,2177,18041,2025-01-20
19160,1987,18057,2024-06-02
19161,1160,18073,2025-10-02
19162,1186,18063,2024-11-30
19163,2478,18040,2026-05-03
19164,1286,18031,2025-05-24
19165,1255,18057,2024-06-29
19166,1209,18042,2024-01-05
19167,2710,18026,2024-11-20
19168,1009,18054,2024-10-24
19169,1858,18076,2024-04-26
19170,2702,18030,2025-11-06
19171,2462,18065,2025-05-28
19172,2479,18070,2025-01-04
19173,2547,18064,2026-07-11
19174,1534,18051,2025-08-04
19175,1493,18057,2025-09-18
19176,2145,18075,2024-04-01
19177,1120,18020,2026-07-31
19178,2000,18027,2026-04-26
19179,2710,18032,2024-01-25
19180,1023,18019,2024-02-27
19181,1549,18005,2025-04-23
19182,1916,18001,2025-11-02
19183,1699,18032,2025-07-04
19184,2444,18058,2025-11-09
19185,2677,18044,2026-01-10
19186,1740,18076,2024-12-08
19187,2029,18022,2023-12-29
19188,1950,18021,2024-05-13
19189,1196,18062,2025-03-28
19190,2769,18059,2026-01-08
19191,2113,18032,2024-04-01
19192,1817,18069,2025-07-20
19193,1135,18046,2026-03-28
19194,1185,18012,2025-11-07
19195,1842,18039,2024-08-19
19196,2454,18040,2025-05-04
19197,1013,18024,2025-10-09
19198,2803,18023,2024-01-05
19199,1770,18057,2023-11-14
19200,2398,18058,2024-04-27
19201,2360,18013,2024-02-28
19202,1605,18004,2025-08-19
19203,1365,18031,2024-02-11
19204,1981,18047,2026-07-24
19205,2216,18058,2024-11-19
19206,2045,18005,2024-03-17
19207,1780,18017,2026-05-31
19208,2649,18024,2026-07-16
19209,1909,18021,2026-02-07
19210,1113,18051,2026-01-01
19211,1625,18037,2024-07-20
19212,1036,18033,2025-05-17
19213,2547,18027,2024-10-30
19214,2408,18030,2026-06-29
19215,1291,18021,2025-08-12
19216,1092,18053,2024-11-17
19217,2350,18047,2024-04-26
19218,1969,18028,2023-11-25
19219,2333,18029,2026-05-07
19220,1926,18022,2024-01-18
19221,2380,18077,2025-09-03
19222,2469,18061,2025-10-24
19223,2531,18048,2025-11-22
19224,1027,18019,2024-10-21
19225,1751,18002,2024-10-20
19226,2781,18012,2023-12-28
19227,1930,18053,2026-01-23
19228,1631,18058,2025-08-28
19229,2498,18038,2024-08-10
19230,1098,18013,2024-02-03
19231,1870,18059,2025-10-24
19232,1810,18004,2025-12-29
19233,2746,18017,2024-03-27
19234,2592,18044,2025-07-24
19235,2721,18042,2024-12-11
19236,2431,18038,2026-04-30
19237,1164,18010,2026-01-29
19238,1539,18071,2023-11-13
19239,1808,18031,2025-04-17
19240,2790,18031,2026-03-10
19241,2416,18016,2024-04-07
19242,1684,18051,2026-05-06
19243,1214,18059,2024-12-13
19244,1565,18038,2026-06-11
19245,2793,18011,2024-06-27
19246,1534,18021,2024-12-01
19247,2352,18015,2026-04-03
19248,2574,18063,2025-12-02
19249,1409,18012,2024-10-08
19250,1096,18077,2026-03-27
19251,1374,18014,2024-11-04
19252,2623,18067,2024-08-08
19253,2552,18070,2023-11-22
19254,1053,18069,2025-09-23
19255,1720,18062,2025-05-20
19256,2224,18056,2025-04-22
19257,2351,18067,2024-04-16
19258,1146,18054,2024-05-14
19259,1112,18033,2025-09-30
19260,2142,18021,2026-06-05
19261,1233,18046,2025-04-01
19262,1988,18034,2025-02-23
19263,2724,18053,2025-05-08
19264,1297,18001,2025-06-10
19265,1036,18061,2025-10-15
19266,2661,18014,2024-12-22
19267,2226,18060,2024-09-10
19268,2243,18055,2025-05-08
19269,1066,18049,2025-02-14
19270,1576,18053,2024-07-11
19271,1965,18007,2025-07-11
19272,2243,18050,2026-07-02
19273,1510,18045,2026-06-18
19274,2316,18007,2024-05-30
19275,2446,18014,2023-12-11
19276,1777,18045,2026-01-20
19277,1945,18058,2025-02-23
19278,1363,18056,2025-08-12
19279,1809,18055,2026-08-08
19280,1847,18042,2024-08-26
19281,2133,18019,2024-09-29
19282,1050,18006,2026-06-04
19283,1982,18043,2026-04-30
19284,2684,18048,2024-04-02
19285,2726,18072,2024-04-28
19286,1513,18041,2026-03-20
19287,2708,18073,2024-12-04
19288,2069,18018,2025-10-28
19289,1993,18076,2025-12-21
19290,2450,18065,2024-09-01
19291,1658,18053,2026-02-25
19292,1887,18063,2024-08-24
19293,1885,18013,2025-07-21
19294,2044,18049,2024-08-12
19295,1993,18025,2025-08-30
19296,1527,18024,2024-09-08
19297,1085,18042,2025-10-25
19298,1009,18039,2024-04-20
19299,1375,18010,2025-05-12
19300,2000,18003,2026-01-22
19301,1565,18030,2025-12-18
19302,2796,18024,2026-06-14
19303,2246,18050,2024-10-28
19304,1288,18067,2024-06-28
19305,1313,18015,2025-04-20
19306,2605,18054,2025-03-17
19307,2651,18011,2025-06-18
19308,2118,18027,2025-12-14
19309,1793,18042,2026-07-27
19310,1595,18066,2024-01-25
19311,1540,18069,2025-07-09
19312,1593,18019,2024-11-18
19313,1326,18057,2025-11-03
19314,1049,18029,2026-02-16
19315,1845,18055,2026-05-10
19316,1108,18019,2025-08-25
19317,2017,18019,2024-05-27
19318,1414,18065,2025-03-11
19319,1214,18022,2026-06-04
19320,1540,18041,2024-04-25
19321,2648,18038,2025-08-08
19322,1363,18050,2024-09-02
19323,1944,18007,2024-09-05
19324,2353,18019,2025-11-01
19325,2700,18039,2025-07-08
19326,2235,18048,2025-10-15
19327,2786,18055,2025-06-11
19328,2572,18007,2024-11-04
19329,2526,18065,2025-08-20
19330,2366,18057,2026-06-12
19331,2277,18012,2026-03-13
19332,1280,18002,2026-03-06
19333,2494,18071,2024-01-16
19334,2005,18048,2025-05-16
19335,2371,18061,2024-08-20
19336,1129,18065,2024-06-06
19337,1163,18009,2024-10-15
19338,2297,18014,2023-11-21
19339,1529,18025,2024-11-25
19340,2249,18074,2024-02-19
19341,2763,18032,2024-04-02
19342,1328,18068,2024-05-13
19343,2019,18036,2024-08-12
19344,2408,18001,2025-05-09
19345,1003,18054,2023-11-30
19346,2110,18039,2025-10-05
19347,2050,18054,2026-01-14
19348,1338,18020,2025-03-20
19349,1003,18076,2024-12-20
19350,2230,18063,2024-12-09
19351,1608,18004,2026-02-11
19352,1593,18031,2025-02-15
19353,2423,18004,2024-05-19
19354,1622,18076,2024-03-25
19355,2604,18041,2025-09-16
19356,2727,18065,2024-07-13
19357,2349,18003,2026-07-03
19358,1127,18031,2024-08-09
19359,2785,18024,2025-12-17
19360,1392,18064,2024-01-09
19361,1781,18017,2025-12-07
19362,2576,18020,2026-05-08
19363,2069,18009,2024-08-23
19364,2646,18001,2025-06-28
19365,1538,18046,2025-10-02
19366,2041,18073,2026-01-04
19367,1917,18021,2025-01-30
19368,2465,18005,2025-11-03
19369,2545,18025,2025-02-12
19370,1745,18024,2024-07-01
19371,2204,18068,2025-10-04
19372,1606,18059,2026-06-05
19373,2190,18031,2024-01-01
19374,2264,18009,2024-07-05
19375,1675,18030,2025-09-16
19376,1091,18050,2024-06-27
19377,1360,18007,2024-02-24
19378,1638,18028,2026-07-21
19379,1659,18041,2024-03-25
19380,2561,18027,2025-11-27
19381,2005,18056,2024-07-11
19382,1931,18059,2024-10-01
19383,1383,18054,2025-10-11
19384,1997,18074,2026-04-27
19385,1501,18009,2025-07-29
19386,1790,18004,2025-03-01
19387,1175,18026,2025-11-18
19388,2666,18010,2026-04-18
19389,1289,18073,2024-06-16
19390,1123,18021,2025-10-04
19391,2014,18065,2026-03-30
19392,1173,18041,2025-05-07
19393,1433,18019,2025-01-15
19394,1554,18048,2023-12-19
19395,2078,18021,2024-05-03
19396,2198,18053,2025-10-17
19397,1262,18024,2026-02-16
19398,1645,18064,2026-06-20
19399,2675,18026,2025-06-09
19400,2168,18043,2026-03-07
19401,1685,18007,2026-07-05
19402,1120,18075,2024-04-17
19403,1401,18016,2025-08-14
19404,2762,18009,2026-05-23
19405,2218,18056,2025-10-01
19406,1713,18037,2026-06-21
19407,2750,18044,2026-01-19
19408,2396,18019,2025-12-22
19409,2294,18062,2026-04-02
19410,1979,18073,2025-06-18
19411,1734,18074,2023-11-26
19412,1298,18052,2023-11-14
19413,1614,18011,2024-08-07
19414,1378,18075,2025-06-13
19415,2787,18075,2025-05-24
19416,2081,18021,2025-10-13
19417,1858,18055,2024-05-10
19418,2697,18064,2024-02-05
19419,2697,18006,2025-11-11
19420,1597,18026,2024-11-11
19421,1742,18044,2024-06-20
19422,2678,18053,2025-10-21
19423,1150,18002,2025-11-19
19424,2236,18028,2025-05-10
19425,2807,18051,2024-02-03
19426,2772,18038,2026-07-23
19427,1227,18032,2023-11-26
19428,1511,18066,2024-02-06
19429,1997,18006,2024-09-01
19430,1034,18035,2025-03-29
19431,1075,18006,2025-04-01
19432,1990,18071,2025-07-15
19433,2138,18015,2024-09-23
19434,2378,18050,2025-02-11
19435,1098,18075,2025-01-22
19436,1035,18037,2026-07-22
19437,2308,18070,2024-03-21
19438,1728,18036,2024-07-24
19439,1707,18034,2025-02-01
19440,1275,18047,2024-06-17
19441,2774,18071,2025-04-06
19442,1756,18016,2026-03-23
19443,1841,18045,2025-10-23
19444,2117,18036,2023-11-20
19445,1015,18073,2024-08-31
19446,2376,18008,2025-07-31
19447,1881,18076,2025-10-04
19448,2056,18044,2025-09-18
19449,2191,18060,2024-03-29
19450,2567,18031,2025-08-17
19451,2622,18053,2024-11-20
19452,1484,18067,2026-05-30
19453,2566,18064,2024-12-16
19454,1153,18049,2026-04-22
19455,2382,18022,2025-11-19
19456,1700,18014,2026-01-01
19457,1860,18034,2023-12-28
19458,2573,18012,2025-01-14
19459,2278,18015,2024-11-06
19460,2673,18028,2025-04-03
19461,1188,18056,2024-07-09
19462,1728,18062,2024-01-05
19463,2521,18014,2025-01-04
19464,2317,18074,2026-04-04
19465,1967,18012,2026-05-20
19466,2556,18008,2025-06-03
19467,1906,18034,2024-04-16
19468,1077,18057,2025-06-14
19469,2007,18066,2026-03-10
19470,1157,18008,2026-01-06
19471,1750,18031,2025-07-23
19472,1572,18056,2025-12-04
19473,2151,18003,2024-04-02
19474,2186,18020,2024-02-10
19475,1357,18076,2024-04-11
19476,2675,18030,2025-03-03
19477,1886,18071,2025-09-10
19478,2239,18058,2024-06-10
19479,2182,18010,2024-07-20
19480,1440,18033,2025-04-15
19481,2244,18005,2026-06-06
19482,2013,18050,2026-04-06
19483,2226,18047,2024-04-10
19484,1089,18027,2026-07-29
19485,1381,18068,2026-01-20
19486,1751,18052,2025-05-25
19487,1139,18070,2024-02-11
19488,1053,18074,2026-07-26
19489,1481,18031,2024-08-18
19490,1829,18046,2025-03-16
19491,2462,18067,2025-08-21
19492,2692,18058,2024-04-05
19493,1189,18060,2026-04-06
19494,1171,18007,2026-05-24
19495,1636,18071,2024-05-31
19496,2690,18059,2026-01-15
19497,1137,18048,2025-11-24
19498,1589,18026,2023-12-20
19499,1632,18062,2025-06-18
19500,1061,18009,2025-02-04
19501,1523,18012,2023-12-01
19502,1078,18048,2026-08-01
19503,2359,18044,2025-09-28
19504,1309,18074,2024-06-03
19505,1555,18055,2026-01-30
19506,2266,18019,2025-04-29
19507,2328,18062,2024-10-24
