vas_id,customer_id,service_name,start_date,end_date
25151,1666,Caller Tune,2024-09-20,2025-09-20
25152,2159,Missed Call Alert Pro,2025-09-20,2026-09-20
25153,1470,Data Rollover Add-on,2024-10-09,2025-10-09
25154,1585,Caller Tune,2024-10-03,2025-10-03
25155,1463,Missed Call Alert Pro,2026-05-21,2027-05-21
25156,2032,Missed Call Alert Pro,2026-02-20,2027-02-20
25157,1257,Caller Tune,2025-07-11,2026-07-11
25158,2393,Mobile Insurance,2025-07-09,2026-07-09
25159,1134,Missed Call Alert Pro,2026-06-06,2027-06-06
25160,1781,Mobile Insurance,2024-12-10,2025-12-10
25161,1196,Premium Voicemail,2026-04-18,2027-04-18
25162,1931,Mobile Insurance,2026-05-11,2027-05-11
25163,1030,Premium Voicemail,2024-10-09,2025-10-09
25164,1184,Caller Tune,2025-08-04,2026-08-04
25165,1840,Caller Tune,2026-02-07,2027-02-07
25166,2255,Caller Tune,2026-07-19,2027-07-19
25167,2068,Premium Voicemail,2025-03-21,2026-03-21
25168,1964,Mobile Insurance,2025-04-25,2026-04-25
25169,1690,Missed Call Alert Pro,2025-01-19,2026-01-19
25170,1853,Missed Call Alert Pro,2025-12-08,2026-12-08
25171,1052,Premium Voicemail,2025-06-16,2026-06-16
25172,1621,Caller Tune,2024-10-20,2025-10-20
25173,1888,Data Rollover Add-on,2025-01-19,2026-01-19
25174,1944,Missed Call Alert Pro,2025-08-24,2026-08-24
25175,1980,Missed Call Alert Pro,2026-07-09,2027-07-09
25176,1222,Data Rollover Add-on,2024-11-19,2025-11-19
25177,1480,Caller Tune,2025-10-07,2026-10-07
25178,2005,Mobile Insurance,2026-04-14,2027-04-14
25179,2432,Mobile Insurance,2025-01-31,2026-01-31
25180,1925,Missed Call Alert Pro,2026-07-28,2027-07-28
25181,1968,Mobile Insurance,2026-04-09,2027-04-09
25182,1124,Call Waiting Plus,2026-07-28,2027-07-28
25183,2518,International SMS Pack,2026-06-13,2027-06-13
25184,2358,International SMS Pack,2025-04-22,2026-04-22
25185,1241,Missed Call Alert Pro,2025-09-27,2026-09-27
25186,1672,Data Rollover Add-on,2026-01-15,2027-01-15
25187,1786,Mobile Insurance,2025-11-13,2026-11-13
25188,2529,Data Rollover Add-on,2025-06-08,2026-06-08
25189,1915,Call Waiting Plus,2025-10-20,2026-10-20
25190,1056,Call Waiting Plus,2026-02-15,2027-02-15
25191,1772,Data Rollover Add-on,2026-04-13,2027-04-13
25192,2232,Premium Voicemail,2025-03-22,2026-03-22
25193,1096,Mobile Insurance,2025-10-31,2026-10-31
25194,1009,International SMS Pack,2025-10-21,2026-10-21
25195,2794,Missed Call Alert Pro,2025-01-18,2026-01-18
25196,2538,Premium Voicemail,2025-04-22,2026-04-22
25197,2491,Caller Tune,2024-12-01,2025-12-01
25198,1589,Mobile Insurance,2025-03-07,2026-03-07
25199,2565,Caller Tune,2025-10-05,2026-10-05
25200,2368,International SMS Pack,2024-12-19,2025-12-19
25201,1532,Data Rollover Add-on,2026-06-10,2027-06-10
25202,2492,Caller Tune,2024-10-16,2025-10-16
25203,1392,International SMS Pack,2026-07-26,2027-07-26
25204,2578,Missed Call Alert Pro,2026-03-10,2027-03-10
25205,2724,Missed Call Alert Pro,2026-04-05,2027-04-05
25206,2180,Mobile Insurance,2025-05-14,2026-05-14
25207,1491,Premium Voicemail,2025-03-07,2026-03-07
25208,2690,Data Rollover Add-on,2025-03-08,2026-03-08
25209,2760,Missed Call Alert Pro,2025-08-31,2026-08-31
25210,1511,Data Rollover Add-on,2026-06-07,2027-06-07
25211,1829,Premium Voicemail,2026-06-21,2027-06-21
25212,1043,Caller Tune,2025-11-17,2026-11-17
25213,2113,International SMS Pack,2024-10-14,2025-10-14
25214,2612,Call Waiting Plus,2025-01-01,2026-01-01
25215,2449,Call Waiting Plus,2026-01-18,2027-01-18
25216,2263,Mobile Insurance,2026-02-03,2027-02-03
25217,1154,Premium Voicemail,2025-10-05,2026-10-05
25218,1600,Mobile Insurance,2025-12-06,2026-12-06
25219,2067,Call Waiting Plus,2024-09-23,2025-09-23
25220,2203,Mobile Insurance,2025-05-01,2026-05-01
25221,1335,International SMS Pack,2024-11-30,2025-11-30
25222,1234,International SMS Pack,2025-11-07,2026-11-07
25223,2582,Call Waiting Plus,2025-02-09,2026-02-09
25224,1388,International SMS Pack,2026-06-01,2027-06-01
25225,1973,Missed Call Alert Pro,2025-06-10,2026-06-10
25226,2049,Premium Voicemail,2025-06-25,2026-06-25
25227,1321,Missed Call Alert Pro,2026-04-05,2027-04-05
25228,1935,Mobile Insurance,2026-03-06,2027-03-06
25229,2756,Premium Voicemail,2026-07-21,2027-07-21
25230,1451,Premium Voicemail,2025-08-17,2026-08-17
25231,1927,Missed Call Alert Pro,2025-02-03,2026-02-03
25232,1602,Call Waiting Plus,2026-06-01,2027-06-01
25233,2023,Data Rollover Add-on,2025-03-08,2026-03-08
25234,2124,International SMS Pack,2025-12-21,2026-12-21
25235,1291,Missed Call Alert Pro,2025-12-22,2026-12-22
25236,1948,Mobile Insurance,2024-12-21,2025-12-21
25237,1495,International SMS Pack,2025-02-01,2026-02-01
25238,1309,Caller Tune,2024-11-26,2025-11-26
25239,2173,International SMS Pack,2026-07-07,2027-07-07
25240,2007,Missed Call Alert Pro,2025-01-20,2026-01-20
25241,1908,Missed Call Alert Pro,2025-07-12,2026-07-12
25242,1112,Caller Tune,2025-03-16,2026-03-16
25243,1896,Mobile Insurance,2025-05-31,2026-05-31
25244,2787,Caller Tune,2026-07-31,2027-07-31
25245,1035,Caller Tune,2025-03-15,2026-03-15
25246,1476,Caller Tune,2026-03-01,2027-03-01
25247,1562,Call Waiting Plus,2026-03-02,2027-03-02
25248,1371,International SMS Pack,2024-12-22,2025-12-22
25249,2006,Mobile Insurance,2026-03-16,2027-03-16
25250,1963,Data Rollover Add-on,2026-07-23,2027-07-23
25251,1297,Caller Tune,2026-04-04,2027-04-04
25252,1382,Missed Call Alert Pro,2025-10-19,2026-10-19
25253,2267,Premium Voicemail,2026-07-31,2027-07-31
25254,1239,International SMS Pack,2026-08-05,2027-08-05
25255,2623,Call Waiting Plus,2024-10-23,2025-10-23
25256,1988,Caller Tune,2026-01-23,2027-01-23
25257,1835,Mobile Insurance,2025-02-20,2026-02-20
25258,2534,Mobile Insurance,2025-12-05,2026-12-05
25259,1837,Mobile Insurance,2025-11-22,2026-11-22
25260,1553,Missed Call Alert Pro,2025-01-19,2026-01-19
25261,1777,Call Waiting Plus,2024-10-23,2025-10-23
25262,2674,Premium Voicemail,2024-10-10,2025-10-10
25263,1596,Call Waiting Plus,2026-02-18,2027-02-18
25264,1380,Call Waiting Plus,2024-10-08,2025-10-08
25265,2685,Mobile Insurance,2025-02-08,2026-02-08
25266,2451,International SMS Pack,2026-05-13,2027-05-13
25267,2392,Data Rollover Add-on,2024-10-08,2025-10-08
25268,2235,Premium Voicemail,2026-06-06,2027-06-06
25269,1591,Premium Voicemail,2025-09-14,2026-09-14
25270,2405,Call Waiting Plus,2025-07-05,2026-07-05
25271,1168,Data Rollover Add-on,2026-04-27,2027-04-27
25272,1077,Call Waiting Plus,2026-05-20,2027-05-20
25273,2201,Caller Tune,2024-09-21,2025-09-21
25274,1720,Data Rollover Add-on,2025-08-08,2026-08-08
25275,1120,Mobile Insurance,2025-04-26,2026-04-26
25276,2072,Mobile Insurance,2025-07-02,2026-07-02
25277,1886,Mobile Insurance,2025-06-23,2026-06-23
25278,1918,Premium Voicemail,2025-10-03,2026-10-03
25279,1174,Premium Voicemail,2025-03-21,2026-03-21
25280,2208,Mobile Insurance,2025-02-22,2026-02-22
25281,1616,Premium Voicemail,2025-03-17,2026-03-17
25282,1797,Premium Voicemail,2025-11-23,2026-11-23
25283,1597,Call Waiting Plus,2026-07-19,2027-07-19
25284,1267,Call Waiting Plus,2026-04-20,2027-04-20
25285,2170,Call Waiting Plus,2026-07-03,2027-07-03
25286,2726,Data Rollover Add-on,2026-02-18,2027-02-18
25287,1576,Mobile Insurance,2025-03-21,2026-03-21
25288,1674,Mobile Insurance,2024-12-05,2025-12-05
25289,2546,Call Waiting Plus,2026-01-03,2027-01-03
25290,2123,Premium Voicemail,2026-04-24,2027-04-24
25291,1458,Call Waiting Plus,2024-10-08,2025-10-08
25292,1258,International SMS Pack,2026-06-21,2027-06-21
25293,2536,Data Rollover Add-on,2026-02-07,2027-02-07
25294,1294,Call Waiting Plus,2026-07-07,2027-07-07
25295,2500,Call Waiting Plus,2025-09-16,2026-09-16
25296,2431,International SMS Pack,2025-03-18,2026-03-18
25297,2302,International SMS Pack,2025-12-15,2026-12-15
25298,1450,Caller Tune,2025-02-21,2026-02-21
25299,2512,Call Waiting Plus,2025-06-07,2026-06-07
25300,1496,Data Rollover Add-on,2026-06-28,2027-06-28
25301,2410,Mobile Insurance,2025-10-20,2026-10-20
25302,1503,Premium Voicemail,2025-09-24,2026-09-24
25303,2312,Premium Voicemail,2025-04-14,2026-04-14
25304,2187,Premium Voicemail,2026-03-17,2027-03-17
25305,1538,Call Waiting Plus,2025-05-02,2026-05-02
25306,2300,International SMS Pack,2025-02-12,2026-02-12
25307,1533,Data Rollover Add-on,2026-03-02,2027-03-02
25308,2277,Premium Voicemail,2026-02-15,2027-02-15
25309,2223,Missed Call Alert Pro,2025-04-15,2026-04-15
25310,2371,Call Waiting Plus,2025-09-22,2026-09-22
25311,2675,Caller Tune,2025-01-07,2026-01-07
25312,2152,Premium Voicemail,2025-10-11,2026-10-11
25313,1996,Caller Tune,2025-06-16,2026-06-16
25314,2218,International SMS Pack,2026-08-09,2027-08-09
25315,1917,Missed Call Alert Pro,2026-07-23,2027-07-23
25316,2439,Mobile Insurance,2025-07-22,2026-07-22
25317,1103,Missed Call Alert Pro,2025-02-23,2026-02-23
25318,1914,Data Rollover Add-on,2026-06-07,2027-06-07
25319,2503,Call Waiting Plus,2025-06-21,2026-06-21
25320,2155,Call Waiting Plus,2025-05-22,2026-05-22
25321,2622,Premium Voicemail,2024-12-31,2025-12-31
25322,1779,Caller Tune,2026-01-25,2027-01-25
25323,2425,Missed Call Alert Pro,2025-11-19,2026-11-19
25324,2571,Data Rollover Add-on,2026-02-08,2027-02-08
25325,1550,Missed Call Alert Pro,2024-12-03,2025-12-03
25326,1791,Data Rollover Add-on,2026-06-12,2027-06-12
25327,2265,Call Waiting Plus,2024-09-21,2025-09-21
25328,2337,International SMS Pack,2026-01-20,2027-01-20
25329,1902,Mobile Insurance,2025-06-15,2026-06-15
25330,1568,Premium Voicemail,2026-07-02,2027-07-02
25331,1068,Premium Voicemail,2026-07-01,2027-07-01
25332,2202,Call Waiting Plus,2025-09-11,2026-09-11
25333,2059,Premium Voicemail,2025-07-28,2026-07-28
25334,1590,Data Rollover Add-on,2026-01-26,2027-01-26
25335,1693,Mobile Insurance,2025-05-07,2026-05-07
25336,2012,Caller Tune,2025-07-18,2026-07-18
25337,2522,International SMS Pack,2025-02-12,2026-02-12
25338,1527,Mobile Insurance,2024-11-30,2025-11-30
25339,1407,Data Rollover Add-on,2024-09-25,2025-09-25
25340,1812,Missed Call Alert Pro,2026-05-05,2027-05-05
25341,2030,Call Waiting Plus,2025-02-16,2026-02-16
25342,2722,Data Rollover Add-on,2025-07-04,2026-07-04
25343,2281,Call Waiting Plus,2025-12-04,2026-12-04
25344,1263,Caller Tune,2026-02-20,2027-02-20
25345,2610,International SMS Pack,2025-04-12,2026-04-12
25346,1144,Missed Call Alert Pro,2026-03-07,2027-03-07
25347,1845,Premium Voicemail,2026-05-16,2027-05-16
25348,1278,Premium Voicemail,2025-02-14,2026-02-14
25349,1852,Data Rollover Add-on,2026-04-13,2027-04-13
25350,2437,Mobile Insurance,2024-10-26,2025-10-26
25351,1841,Caller Tune,2025-02-12,2026-02-12
25352,1338,Data Rollover Add-on,2025-12-14,2026-12-14
25353,1485,Premium Voicemail,2026-01-28,2027-01-28
25354,2328,Mobile Insurance,2025-04-12,2026-04-12
25355,2353,Call Waiting Plus,2025-11-28,2026-11-28
25356,2105,Premium Voicemail,2026-03-03,2027-03-03
25357,2524,Caller Tune,2024-11-25,2025-11-25
25358,2468,Premium Voicemail,2024-11-14,2025-11-14
25359,1161,Caller Tune,2025-01-29,2026-01-29
25360,1481,International SMS Pack,2026-02-26,2027-02-26
25361,2016,Premium Voicemail,2026-06-14,2027-06-14
25362,1722,Data Rollover Add-on,2024-09-16,2025-09-16
25363,1598,Premium Voicemail,2025-09-07,2026-09-07
25364,1002,Data Rollover Add-on,2024-12-20,2025-12-20
25365,2624,Call Waiting Plus,2025-01-11,2026-01-11
25366,1387,Premium Voicemail,2026-04-21,2027-04-21
25367,1201,Mobile Insurance,2025-08-06,2026-08-06
25368,2189,Data Rollover Add-on,2025-05-05,2026-05-05
25369,1231,Mobile Insurance,2026-02-21,2027-02-21
25370,2308,Data Rollover Add-on,2025-10-23,2026-10-23
25371,1889,Missed Call Alert Pro,2025-06-29,2026-06-29
25372,1478,Premium Voicemail,2026-03-02,2027-03-02
25373,1656,Mobile Insurance,2025-08-24,2026-08-24
25374,1669,Caller Tune,2025-05-09,2026-05-09
25375,2652,Mobile Insurance,2025-11-17,2026-11-17
25376,1900,Premium Voicemail,2025-05-06,2026-05-06
25377,2241,Call Waiting Plus,2025-08-11,2026-08-11
25378,1993,Premium Voicemail,2026-03-12,2027-03-12
25379,2573,Data Rollover Add-on,2026-02-26,2027-02-26
25380,1175,Premium Voicemail,2025-11-03,2026-11-03
25381,2311,Mobile Insurance,2026-06-27,2027-06-27
25382,1074,International SMS Pack,2025-10-06,2026-10-06
25383,1645,Mobile Insurance,2025-04-02,2026-04-02
25384,2334,Data Rollover Add-on,2025-04-02,2026-04-02
25385,2483,Data Rollover Add-on,2025-08-21,2026-08-21
25386,1022,Missed Call Alert Pro,2025-10-29,2026-10-29
25387,1789,Data Rollover Add-on,2026-03-14,2027-03-14
25388,2230,International SMS Pack,2026-04-27,2027-04-27
25389,1761,Missed Call Alert Pro,2024-10-29,2025-10-29
25390,1695,Caller Tune,2025-11-19,2026-11-19
25391,2014,Premium Voicemail,2025-05-30,2026-05-30
25392,2707,Caller Tune,2026-01-03,2027-01-03
25393,2533,Premium Voicemail,2025-07-10,2026-07-10
25394,2521,Premium Voicemail,2025-10-07,2026-10-07
25395,1878,Data Rollover Add-on,2026-03-14,2027-03-14
25396,1971,Premium Voicemail,2025-07-28,2026-07-28
25397,1611,Mobile Insurance,2025-10-20,2026-10-20
25398,2506,Data Rollover Add-on,2025-02-27,2026-02-27
25399,2319,International SMS Pack,2025-09-25,2026-09-25
25400,1951,International SMS Pack,2025-05-12,2026-05-12
25401,1019,International SMS Pack,2025-07-05,2026-07-05
25402,1113,Missed Call Alert Pro,2025-10-18,2026-10-18
25403,1923,Call Waiting Plus,2025-08-07,2026-08-07
25404,1906,Missed Call Alert Pro,2025-01-19,2026-01-19
25405,1138,Premium Voicemail,2025-10-09,2026-10-09
25406,1953,Caller Tune,2025-03-14,2026-03-14
25407,2525,Mobile Insurance,2026-07-22,2027-07-22
25408,1351,Caller Tune,2025-11-25,2026-11-25
25409,1313,International SMS Pack,2025-01-24,2026-01-24
25410,1992,International SMS Pack,2026-04-06,2027-04-06
25411,2708,Caller Tune,2025-12-10,2026-12-10
25412,1070,Call Waiting Plus,2025-05-21,2026-05-21
25413,1578,Missed Call Alert Pro,2025-01-24,2026-01-24
25414,1629,Call Waiting Plus,2025-05-24,2026-05-24
25415,1024,Mobile Insurance,2025-12-09,2026-12-09
25416,2250,Data Rollover Add-on,2024-11-02,2025-11-02
25417,2041,Premium Voicemail,2025-08-17,2026-08-17
25418,2479,International SMS Pack,2025-05-16,2026-05-16
25419,1292,Mobile Insurance,2025-08-06,2026-08-06
25420,1157,Mobile Insurance,2026-07-05,2027-07-05
25421,2789,Caller Tune,2026-03-26,2027-03-26
25422,1998,International SMS Pack,2025-06-11,2026-06-11
25423,1665,Mobile Insurance,2025-08-08,2026-08-08
25424,2086,Mobile Insurance,2026-01-20,2027-01-20
25425,1813,Call Waiting Plus,2025-03-25,2026-03-25
25426,2568,Premium Voicemail,2025-05-25,2026-05-25
25427,2761,Data Rollover Add-on,2025-02-24,2026-02-24
25428,2183,Premium Voicemail,2025-08-14,2026-08-14
25429,1395,Missed Call Alert Pro,2025-05-08,2026-05-08
25430,2552,Premium Voicemail,2025-07-08,2026-07-08
25431,1169,Data Rollover Add-on,2025-03-19,2026-03-19
25432,2407,Missed Call Alert Pro,2026-05-17,2027-05-17
25433,2357,Premium Voicemail,2026-03-20,2027-03-20
25434,1289,Premium Voicemail,2025-01-17,2026-01-17
25435,1518,International SMS Pack,2025-08-19,2026-08-19
25436,2119,Caller Tune,2026-04-15,2027-04-15
25437,1843,Mobile Insurance,2025-06-07,2026-06-07
25438,1099,Mobile Insurance,2024-09-27,2025-09-27
25439,1520,Mobile Insurance,2026-07-17,2027-07-17
25440,2594,International SMS Pack,2026-07-23,2027-07-23
25441,1660,Mobile Insurance,2024-09-22,2025-09-22
25442,1514,Caller Tune,2026-06-22,2027-06-22
25443,1736,Mobile Insurance,2025-10-27,2026-10-27
25444,1558,Missed Call Alert Pro,2025-01-06,2026-01-06
25445,1270,Mobile Insurance,2025-03-20,2026-03-20
25446,1828,Premium Voicemail,2026-07-29,2027-07-29
25447,2087,Mobile Insurance,2025-06-19,2026-06-19
25448,1788,International SMS Pack,2025-04-10,2026-04-10
25449,1628,Caller Tune,2026-03-10,2027-03-10
25450,2721,Premium Voicemail,2025-05-27,2026-05-27
25451,2447,Caller Tune,2025-06-15,2026-06-15
25452,1050,International SMS Pack,2025-04-27,2026-04-27
25453,1036,Call Waiting Plus,2024-11-22,2025-11-22
25454,1607,Data Rollover Add-on,2025-09-09,2026-09-09
25455,1775,Missed Call Alert Pro,2026-05-22,2027-05-22
25456,1667,Caller Tune,2026-01-23,2027-01-23
25457,1117,Missed Call Alert Pro,2026-03-16,2027-03-16
25458,2169,Call Waiting Plus,2025-04-22,2026-04-22
25459,2563,International SMS Pack,2026-04-27,2027-04-27
25460,1446,Missed Call Alert Pro,2026-07-03,2027-07-03
25461,1737,Data Rollover Add-on,2026-05-14,2027-05-14
25462,2136,Call Waiting Plus,2024-09-21,2025-09-21
25463,2645,Missed Call Alert Pro,2025-12-26,2026-12-26
25464,1579,Caller Tune,2026-05-25,2027-05-25
25465,2239,Call Waiting Plus,2025-07-09,2026-07-09
25466,2107,Call Waiting Plus,2026-06-02,2027-06-02
25467,1448,Mobile Insurance,2025-12-19,2026-12-19
25468,2000,International SMS Pack,2025-06-02,2026-06-02
25469,2677,Premium Voicemail,2025-05-02,2026-05-02
25470,2454,Caller Tune,2025-01-17,2026-01-17
25471,2743,Call Waiting Plus,2026-07-09,2027-07-09
25472,1236,Missed Call Alert Pro,2024-10-04,2025-10-04
25473,1842,Call Waiting Plus,2025-03-28,2026-03-28
25474,2689,International SMS Pack,2025-12-19,2026-12-19
