case_id,customer_id,case_type,reported_at,status
24088,2546,Spam Reports,2026-05-02 20:00:00,Resolved
24089,2370,SIM Swap,2026-02-23 04:00:00,Investigating
24090,2724,Phishing,2026-01-17 13:00:00,Investigating
24091,1737,Phishing,2026-07-29 08:00:00,Investigating
24092,1145,Unauthorized Recharge,2026-07-18 16:00:00,Investigating
24093,2242,Phishing,2025-08-30 16:00:00,Investigating
24094,2250,Phishing,2026-03-02 00:00:00,Resolved
24095,2401,Phishing,2026-03-18 10:00:00,Resolved
24096,1387,Identity Theft,2026-02-17 23:00:00,Investigating
24097,1215,Spam Reports,2026-06-07 07:00:00,Investigating
24098,2765,Phishing,2025-08-16 16:00:00,Resolved
24099,2767,Phishing,2025-12-14 06:00:00,Resolved
24100,2461,SIM Swap,2025-12-02 17:00:00,Resolved
24101,1105,Phishing,2026-02-27 15:00:00,Resolved
24102,2662,Fake KYC Attempt,2026-02-25 16:00:00,Resolved
24103,2083,Phishing,2026-04-03 23:00:00,Resolved
24104,2176,Fake KYC Attempt,2026-03-22 05:00:00,Resolved
24105,2415,Fake KYC Attempt,2025-12-17 04:00:00,Investigating
24106,2198,SIM Swap,2026-05-01 22:00:00,Investigating
24107,2140,SIM Swap,2025-10-31 07:00:00,Investigating
24108,2692,Unauthorized Recharge,2025-10-19 10:00:00,Investigating
24109,2581,Phishing,2026-07-10 08:00:00,Resolved
24110,2177,Phishing,2025-09-20 11:00:00,Resolved
24111,1959,Unauthorized Recharge,2026-02-22 22:00:00,Resolved
24112,1864,Unauthorized Recharge,2026-07-10 16:00:00,Investigating
24113,1854,Fake KYC Attempt,2025-12-15 05:00:00,Investigating
24114,2752,Fake KYC Attempt,2026-02-01 07:00:00,Resolved
24115,2011,Unauthorized Recharge,2025-11-06 08:00:00,Resolved
24116,2506,Fake KYC Attempt,2025-11-27 23:00:00,Resolved
24117,2155,Identity Theft,2025-10-15 22:00:00,Resolved
24118,1100,Identity Theft,2026-03-10 11:00:00,Resolved
24119,2795,Spam Reports,2026-06-19 14:00:00,Resolved
24120,1442,Phishing,2026-04-18 23:00:00,Resolved
24121,2040,Unauthorized Recharge,2025-10-16 14:00:00,Resolved
24122,2283,Identity Theft,2025-08-20 18:00:00,Investigating
24123,2640,SIM Swap,2026-03-30 17:00:00,Investigating
24124,1425,Phishing,2025-08-19 08:00:00,Investigating
24125,2683,Unauthorized Recharge,2025-10-17 07:00:00,Investigating
24126,1943,Identity Theft,2026-04-07 10:00:00,Investigating
24127,1431,Fake KYC Attempt,2026-02-11 17:00:00,Resolved
24128,2460,Unauthorized Recharge,2026-02-24 10:00:00,Resolved
24129,1443,Identity Theft,2025-10-13 12:00:00,Resolved
24130,1468,SIM Swap,2026-02-28 06:00:00,Resolved
24131,1746,Identity Theft,2025-12-19 00:00:00,Investigating
24132,1154,Phishing,2025-12-28 18:00:00,Resolved
24133,1062,SIM Swap,2026-05-15 23:00:00,Resolved
24134,2313,Phishing,2026-03-21 16:00:00,Resolved
24135,2682,Identity Theft,2026-07-15 10:00:00,Investigating
24136,1576,Fake KYC Attempt,2025-10-21 22:00:00,Resolved
24137,2801,Spam Reports,2026-06-22 19:00:00,Investigating
24138,1379,Identity Theft,2025-11-23 12:00:00,Resolved
24139,1277,Fake KYC Attempt,2026-05-07 04:00:00,Resolved
24140,1820,Phishing,2026-05-22 19:00:00,Investigating
24141,2568,Phishing,2025-10-15 18:00:00,Resolved
24142,2554,SIM Swap,2026-06-03 15:00:00,Resolved
24143,1039,Spam Reports,2026-05-02 20:00:00,Resolved
24144,2100,Identity Theft,2026-04-11 10:00:00,Resolved
24145,1241,Fake KYC Attempt,2025-12-15 21:00:00,Investigating
24146,1539,Fake KYC Attempt,2026-04-15 12:00:00,Resolved
24147,2777,Phishing,2025-12-20 21:00:00,Investigating
24148,2635,Spam Reports,2025-12-10 14:00:00,Resolved
24149,2332,Unauthorized Recharge,2026-03-07 01:00:00,Resolved
24150,1726,Phishing,2025-09-16 04:00:00,Resolved
24151,2398,SIM Swap,2026-06-04 17:00:00,Resolved
24152,1353,Unauthorized Recharge,2026-01-25 07:00:00,Resolved
24153,1115,SIM Swap,2026-05-09 23:00:00,Investigating
24154,1356,Phishing,2025-12-04 15:00:00,Resolved
24155,1526,Unauthorized Recharge,2026-06-26 07:00:00,Resolved
24156,2808,SIM Swap,2026-04-08 13:00:00,Resolved
24157,2560,Fake KYC Attempt,2026-05-08 18:00:00,Resolved
24158,1302,Identity Theft,2026-07-05 05:00:00,Resolved
24159,2150,Spam Reports,2025-09-13 18:00:00,Resolved
24160,2330,Identity Theft,2026-03-01 22:00:00,Resolved
24161,1628,Phishing,2025-08-10 02:00:00,Resolved
24162,1359,Unauthorized Recharge,2026-05-28 14:00:00,Resolved
24163,2712,Identity Theft,2025-09-05 14:00:00,Investigating
24164,1594,Fake KYC Attempt,2026-07-05 11:00:00,Resolved
24165,1166,Fake KYC Attempt,2026-01-25 05:00:00,Resolved
24166,1156,Phishing,2025-12-29 04:00:00,Resolved
24167,1721,Identity Theft,2026-01-10 03:00:00,Resolved
24168,2465,Spam Reports,2026-02-02 05:00:00,Resolved
24169,1888,Phishing,2025-08-09 07:00:00,Resolved
24170,1017,Phishing,2026-04-02 07:00:00,Resolved
24171,2666,Fake KYC Attempt,2026-04-02 00:00:00,Resolved
24172,1404,Fake KYC Attempt,2026-04-05 14:00:00,Investigating
24173,2489,Unauthorized Recharge,2026-04-15 23:00:00,Resolved
24174,1742,Fake KYC Attempt,2025-08-15 19:00:00,Resolved
