roam_id,customer_id,country,start_date,end_date,voice_minutes,data_mb,sms_count
13064,2781,Germany,2025-09-30,2025-10-07,22,721,0
13065,2071,Australia,2026-07-23,2026-07-27,91,623,29
13066,1657,Malaysia,2025-11-17,2025-12-04,207,713,17
13067,1714,Canada,2025-08-25,2025-09-09,76,454,47
13068,2358,Japan,2026-04-12,2026-04-16,252,602,50
13069,1516,Thailand,2025-09-04,2025-09-12,293,360,30
13070,2405,United Arab Emirates,2025-08-09,2025-08-21,207,1701,25
13071,1404,France,2026-02-23,2026-03-03,299,517,16
13072,1858,Saudi Arabia,2025-10-02,2025-10-18,135,945,27
13073,2655,Singapore,2025-12-13,2025-12-30,16,1300,5
13074,1434,Saudi Arabia,2025-09-16,2025-09-26,256,1924,57
13075,1952,Malaysia,2026-07-13,2026-07-24,136,1471,7
13076,1491,Qatar,2025-08-19,2025-08-26,152,791,31
13077,1895,United Kingdom,2026-01-31,2026-02-10,91,813,76
13078,1530,United Arab Emirates,2025-11-18,2025-11-29,290,1458,85
13079,1520,United States,2025-12-19,2025-12-24,266,489,13
13080,2782,Canada,2026-04-16,2026-04-21,22,1058,93
13081,1630,Qatar,2026-04-22,2026-04-23,279,992,17
13082,2739,Qatar,2025-12-26,2026-01-11,265,854,10
13083,2745,United Arab Emirates,2026-01-18,2026-02-04,178,949,43
13084,1088,Canada,2026-02-23,2026-03-09,15,486,32
13085,1293,France,2025-11-04,2025-11-09,265,175,70
13086,1726,Thailand,2026-05-06,2026-05-10,233,614,38
13087,1152,Saudi Arabia,2025-08-11,2025-08-20,217,454,50
13088,1937,Qatar,2025-08-29,2025-09-01,227,1413,87
13089,1023,Saudi Arabia,2026-03-10,2026-03-15,75,522,81
13090,1989,Singapore,2025-08-27,2025-09-03,158,954,9
13091,1892,United States,2026-06-12,2026-06-14,109,989,27
13092,1233,United Kingdom,2025-09-02,2025-09-11,271,774,9
13093,1212,Thailand,2025-11-08,2025-11-16,9,1345,49
13094,2053,United Kingdom,2026-04-21,2026-05-03,283,1914,100
13095,1719,France,2025-08-10,2025-08-15,199,587,23
13096,2201,France,2026-02-01,2026-02-18,163,1544,37
13097,2623,Qatar,2026-03-03,2026-03-10,110,1666,74
13098,1087,Australia,2026-02-09,2026-02-21,249,1027,39
13099,2786,Australia,2026-05-31,2026-06-09,66,1225,72
13100,2384,United Arab Emirates,2025-11-15,2025-11-18,131,1176,28
13101,1557,United Arab Emirates,2026-04-24,2026-05-05,41,320,91
13102,2130,Japan,2025-09-24,2025-10-13,190,1089,14
13103,2748,United Arab Emirates,2026-02-11,2026-02-13,241,927,42
13104,2165,Canada,2025-10-19,2025-11-05,2,636,93
13105,1896,Thailand,2026-07-05,2026-07-14,218,640,80
13106,1579,France,2025-10-25,2025-10-30,150,41,35
13107,2335,Qatar,2025-08-18,2025-08-22,277,1133,100
13108,1411,Saudi Arabia,2026-01-13,2026-01-27,261,764,19
13109,1959,Singapore,2026-06-01,2026-06-17,65,1491,90
13110,1036,United Kingdom,2025-12-03,2025-12-06,36,1289,4
13111,2457,United Arab Emirates,2026-04-10,2026-04-26,69,1476,40
13112,2740,United Kingdom,2025-12-16,2025-12-25,243,1872,92
13113,1383,Thailand,2025-10-11,2025-10-25,3,459,36
13114,2169,Singapore,2025-11-28,2025-12-03,49,1402,78
13115,1176,Japan,2026-02-09,2026-02-20,82,1453,32
13116,2271,France,2026-08-05,2026-08-14,61,1191,95
13117,2708,Japan,2025-12-16,2025-12-22,195,1603,22
13118,2793,Australia,2026-04-26,2026-04-27,278,714,9
13119,1538,Malaysia,2026-05-18,2026-06-03,75,13,24
13120,1879,Thailand,2025-12-11,2025-12-12,149,1883,83
13121,1199,Australia,2026-03-29,2026-04-15,121,604,6
13122,1519,United Kingdom,2026-05-21,2026-05-29,61,586,66
13123,1248,United States,2026-07-22,2026-07-29,159,1769,62
13124,2778,United Kingdom,2026-08-05,2026-08-22,233,1327,39
13125,1258,Malaysia,2026-03-07,2026-03-08,114,1423,37
13126,1465,Qatar,2025-11-22,2025-11-29,38,984,43
13127,1335,United Arab Emirates,2025-10-18,2025-11-02,226,1601,82
13128,1841,United Kingdom,2026-05-04,2026-05-16,140,946,42
13129,2591,United States,2025-09-29,2025-10-16,198,362,51
13130,2422,France,2026-03-01,2026-03-17,220,466,44
13131,1407,Singapore,2026-03-22,2026-04-05,182,1219,84
13132,1515,Australia,2026-05-09,2026-05-27,7,1051,11
13133,1965,United States,2026-06-29,2026-07-01,30,719,67
13134,2378,Australia,2025-11-17,2025-12-03,214,68,63
13135,1429,Malaysia,2025-12-15,2025-12-26,29,98,52
13136,1850,Thailand,2026-07-24,2026-08-09,289,902,88
13137,2771,Malaysia,2026-02-11,2026-02-14,179,1482,85
13138,1140,United Kingdom,2026-06-14,2026-06-29,233,1650,26
13139,1197,United States,2025-10-06,2025-10-24,108,827,48
13140,2692,Thailand,2026-04-07,2026-04-22,296,1126,25
13141,1278,United Kingdom,2026-05-31,2026-06-05,159,452,84
13142,2440,United Kingdom,2026-04-03,2026-04-20,165,1617,21
13143,1836,Germany,2026-05-09,2026-05-20,107,1750,25
13144,1284,Germany,2026-03-05,2026-03-19,2,1247,72
13145,2557,Thailand,2025-09-24,2025-10-07,146,471,34
13146,2084,Qatar,2025-11-24,2025-12-14,218,1141,7
13147,2624,United Kingdom,2026-07-02,2026-07-16,15,1365,9
13148,2788,Singapore,2026-02-15,2026-02-19,247,128,88
13149,1883,Japan,2026-08-02,2026-08-20,72,1811,67
13150,2622,Saudi Arabia,2026-03-21,2026-03-29,176,607,96
13151,1225,Canada,2026-01-25,2026-02-14,63,1894,25
13152,1934,Japan,2026-05-10,2026-05-17,256,366,25
13153,2054,France,2025-12-02,2025-12-22,79,94,67
13154,1244,United Arab Emirates,2026-01-19,2026-01-26,5,1765,67
13155,2533,Japan,2025-08-26,2025-09-12,265,839,79
13156,2158,United Kingdom,2026-03-15,2026-03-19,148,946,37
13157,1955,Australia,2026-07-03,2026-07-21,223,1610,71
13158,2404,Malaysia,2026-02-16,2026-03-02,278,1419,23
13159,2391,Saudi Arabia,2025-12-04,2025-12-12,250,1771,85
13160,2375,United States,2026-06-09,2026-06-28,183,1002,44
13161,1963,Japan,2025-12-29,2026-01-13,233,1051,46
13162,1978,Canada,2025-09-06,2025-09-26,8,1310,98
13163,2075,Saudi Arabia,2025-10-11,2025-10-14,170,1692,43
13164,1797,United Arab Emirates,2025-09-30,2025-10-14,284,1668,81
13165,1426,Saudi Arabia,2026-07-21,2026-08-06,276,814,75
13166,2076,Canada,2026-07-04,2026-07-14,58,783,12
13167,2376,Saudi Arabia,2025-12-20,2025-12-27,3,1670,82
13168,2720,Thailand,2025-08-27,2025-08-28,49,1229,76
13169,1868,United States,2026-03-17,2026-03-27,76,1574,78
13170,1576,Thailand,2025-08-20,2025-08-28,168,1471,14
13171,1746,Malaysia,2025-12-31,2026-01-08,114,224,33
13172,1168,United Kingdom,2025-09-06,2025-09-10,164,1448,54
13173,1915,Thailand,2025-09-08,2025-09-19,2,1520,7
13174,1751,Singapore,2026-04-14,2026-04-29,171,447,12
13175,1754,Singapore,2026-03-21,2026-03-27,218,1784,98
13176,2028,United Arab Emirates,2025-09-17,2025-09-25,133,989,24
13177,1223,Australia,2025-12-19,2026-01-05,0,1265,14
13178,2774,Japan,2025-12-08,2025-12-25,295,642,40
13179,1866,France,2025-10-04,2025-10-12,69,268,66
13180,2214,United States,2025-11-17,2025-11-30,153,141,1
13181,1743,Germany,2026-02-16,2026-03-08,153,527,33
13182,2620,Japan,2025-11-21,2025-11-26,287,1553,58
13183,2050,United States,2026-03-24,2026-04-11,222,1144,96
13184,1073,United Arab Emirates,2026-07-11,2026-07-18,6,1061,30
13185,1308,Germany,2026-05-19,2026-06-07,274,1638,44
13186,2198,Australia,2026-05-02,2026-05-14,278,1739,18
13187,1089,Japan,2026-07-17,2026-07-23,267,1783,88
13188,2433,United Kingdom,2025-10-01,2025-10-08,164,1899,68
13189,2005,Germany,2025-12-16,2025-12-26,294,416,65
13190,1030,France,2026-03-16,2026-04-02,217,1948,91
13191,1386,United Arab Emirates,2026-05-08,2026-05-26,45,67,59
13192,1626,United Arab Emirates,2026-07-30,2026-08-04,219,781,26
13193,2451,Germany,2025-10-02,2025-10-16,159,1735,74
13194,2180,Saudi Arabia,2026-08-07,2026-08-18,8,1047,29
13195,2662,United Kingdom,2025-12-26,2026-01-09,92,1424,48
13196,1017,Qatar,2026-04-24,2026-05-09,297,1501,74
13197,1159,United States,2026-04-05,2026-04-16,273,923,36
13198,2081,Qatar,2025-08-29,2025-09-03,251,1891,83
13199,2193,United Kingdom,2026-02-17,2026-02-27,178,732,26
13200,1071,Malaysia,2025-08-17,2025-09-02,120,1283,25
13201,1291,United Arab Emirates,2025-11-07,2025-11-27,187,1025,75
13202,1013,Singapore,2026-03-02,2026-03-18,14,221,8
13203,1512,Malaysia,2026-07-06,2026-07-19,221,660,62
13204,1222,France,2026-01-16,2026-01-17,250,821,46
13205,2289,Qatar,2026-06-26,2026-06-27,146,329,8
13206,1490,United Kingdom,2026-07-29,2026-08-07,85,396,84
13207,1686,Canada,2025-09-02,2025-09-13,238,1126,36
13208,1075,Germany,2025-11-02,2025-11-22,6,689,41
13209,1253,Australia,2026-08-05,2026-08-19,71,1890,4
13210,2285,Thailand,2025-10-10,2025-10-19,2,1295,20
13211,2003,Saudi Arabia,2026-06-15,2026-06-27,194,288,12
13212,1873,Singapore,2025-08-21,2025-09-02,248,1792,93
13213,2492,Saudi Arabia,2025-12-30,2026-01-08,87,1834,78
13214,2012,Singapore,2026-07-09,2026-07-28,242,1011,83
13215,1504,United Arab Emirates,2026-02-27,2026-02-28,84,1430,27
13216,1011,Japan,2026-02-11,2026-02-17,185,50,4
13217,2680,United Kingdom,2025-11-16,2025-12-02,18,1269,19
13218,1010,Canada,2026-04-09,2026-04-19,300,1750,79
13219,2577,United Arab Emirates,2025-12-04,2025-12-23,224,1042,60
13220,2020,United States,2025-12-10,2025-12-17,103,586,12
13221,2493,Singapore,2026-02-23,2026-03-10,31,1351,52
13222,2628,United Arab Emirates,2025-12-11,2025-12-20,142,709,60
13223,1940,France,2026-01-07,2026-01-21,252,1291,63
13224,2456,Singapore,2026-04-20,2026-05-08,270,1471,63
13225,1420,Malaysia,2026-02-17,2026-02-20,132,1138,46
13226,1463,Canada,2025-09-10,2025-09-20,189,535,96
13227,1947,Japan,2026-04-30,2026-05-19,53,16,6
13228,2163,Germany,2025-09-01,2025-09-16,178,468,17
13229,1808,Australia,2025-12-19,2025-12-20,107,903,0
13230,1035,Saudi Arabia,2026-03-01,2026-03-03,55,937,33
13231,1539,Japan,2025-11-03,2025-11-16,177,1363,56
13232,2783,Japan,2026-02-17,2026-03-04,70,60,29
13233,2150,United Arab Emirates,2026-02-02,2026-02-13,40,1019,33
13234,2475,France,2026-05-04,2026-05-15,140,1198,40
13235,1991,Thailand,2026-03-05,2026-03-13,293,1846,9
13236,2479,Germany,2026-08-02,2026-08-17,9,16,69
13237,2438,Japan,2026-03-16,2026-04-02,47,1062,14
13238,1537,Qatar,2026-07-07,2026-07-19,19,668,23
13239,1173,United Arab Emirates,2026-07-16,2026-08-05,263,1272,60
13240,2395,Saudi Arabia,2026-02-26,2026-03-09,181,1879,8
13241,1901,United Kingdom,2026-05-30,2026-06-13,132,244,95
13242,2097,France,2025-09-04,2025-09-16,62,118,66
13243,2178,Saudi Arabia,2026-08-09,2026-08-25,110,1651,18
13244,2508,Saudi Arabia,2026-03-11,2026-03-23,25,700,52
13245,1720,United Arab Emirates,2026-02-12,2026-03-04,114,263,11
13246,1762,Germany,2025-11-24,2025-11-30,284,1174,55
13247,2763,France,2025-10-09,2025-10-12,248,54,37
13248,1983,Malaysia,2025-09-11,2025-09-24,223,1631,69
13249,2386,Saudi Arabia,2026-03-26,2026-03-29,193,1595,68
13250,2466,Qatar,2026-03-22,2026-04-11,111,259,54
13251,1886,Australia,2026-06-14,2026-06-24,55,685,29
13252,2041,France,2025-08-10,2025-08-15,142,44,64
13253,1731,Qatar,2026-02-28,2026-03-03,17,902,54
13254,1834,Germany,2025-09-02,2025-09-19,198,1908,44
13255,1077,Germany,2026-03-24,2026-04-06,242,1417,40
13256,1840,Qatar,2025-10-29,2025-11-03,141,708,87
13257,1281,Canada,2026-03-06,2026-03-12,296,46,56
13258,1914,Thailand,2025-12-05,2025-12-21,236,925,33
13259,2710,Qatar,2026-05-11,2026-05-25,124,343,71
13260,1370,Canada,2026-01-17,2026-02-05,134,1266,74
13261,2273,United States,2026-02-25,2026-03-07,167,877,62
13262,1730,United Kingdom,2026-07-04,2026-07-09,33,184,16
13263,2569,United Arab Emirates,2025-11-21,2025-12-10,121,1717,85
13264,1649,Germany,2026-04-06,2026-04-14,175,1511,70
13265,1327,United States,2026-05-14,2026-05-26,41,1972,39
13266,2428,Malaysia,2026-02-28,2026-03-05,266,1038,2
13267,2787,United Kingdom,2026-06-16,2026-07-03,277,962,71
13268,2686,Saudi Arabia,2026-06-07,2026-06-08,101,1009,18
13269,2213,Saudi Arabia,2026-04-22,2026-04-26,267,1230,60
13270,2570,Singapore,2026-05-22,2026-05-24,53,1657,49
13271,1954,United States,2025-08-29,2025-08-30,135,1225,3
13272,2758,Canada,2026-07-01,2026-07-04,231,210,7
13273,2599,Qatar,2025-08-16,2025-08-26,253,115,49
13274,1289,Saudi Arabia,2025-10-31,2025-11-12,255,1169,69
13275,2206,France,2025-09-10,2025-09-25,167,1855,62
13276,2272,United Arab Emirates,2026-05-19,2026-05-27,90,1887,90
13277,1567,France,2026-07-04,2026-07-15,118,1577,93
13278,2746,France,2025-12-07,2025-12-17,255,1518,26
13279,1184,Qatar,2025-12-26,2025-12-31,172,1428,74
13280,2008,United Kingdom,2026-06-26,2026-07-02,209,623,33
13281,2218,France,2025-09-03,2025-09-11,295,642,88
13282,1185,France,2026-02-07,2026-02-10,296,432,62
13283,1451,United Arab Emirates,2026-04-03,2026-04-19,32,1908,43
13284,1822,France,2026-07-20,2026-07-26,37,126,41
13285,2132,United Arab Emirates,2025-10-20,2025-11-05,236,1042,53
13286,1548,France,2026-07-27,2026-08-09,158,1410,64
13287,1041,Canada,2025-09-12,2025-09-28,123,513,87
13288,1316,Saudi Arabia,2026-07-15,2026-07-20,24,1801,76
13289,2575,United Arab Emirates,2026-05-20,2026-05-22,90,139,74
13290,1402,France,2026-06-22,2026-07-08,59,692,76
13291,1592,Germany,2026-07-29,2026-08-06,77,670,83
13292,2248,Qatar,2025-10-23,2025-11-03,163,134,44
13293,2522,France,2025-09-16,2025-09-17,76,1579,90
13294,2486,Australia,2026-06-30,2026-07-05,135,1594,7
13295,1319,Malaysia,2025-09-21,2025-09-28,73,1335,25
13296,1026,Australia,2025-08-27,2025-09-15,65,1080,80
13297,1494,Germany,2025-10-11,2025-10-14,74,1164,37
13298,2694,Malaysia,2026-02-07,2026-02-26,39,1946,46
13299,1995,Malaysia,2026-02-23,2026-03-11,55,1411,60
13300,1264,United Kingdom,2025-09-26,2025-09-30,251,1310,43
13301,2038,Thailand,2025-08-16,2025-08-30,148,1360,33
13302,1633,Malaysia,2026-03-06,2026-03-12,195,969,43
13303,1502,Thailand,2026-07-04,2026-07-16,248,1602,16
13304,1314,Malaysia,2025-12-26,2026-01-08,63,1671,97
13305,2717,Saudi Arabia,2026-01-04,2026-01-24,86,1768,40
13306,2300,United Kingdom,2025-11-24,2025-12-09,233,1625,63
13307,2141,Australia,2026-03-10,2026-03-29,162,1615,98
13308,2109,Australia,2026-01-29,2026-02-04,39,841,78
13309,1353,Australia,2025-12-14,2025-12-28,39,1434,63
13310,1826,United States,2026-08-09,2026-08-18,202,714,33
13311,2776,United States,2026-07-24,2026-08-07,127,1365,78
13312,2305,United Kingdom,2026-07-30,2026-08-15,57,709,42
13313,1029,United Arab Emirates,2026-05-10,2026-05-15,295,1989,60
13314,2388,Qatar,2025-12-22,2025-12-31,270,1997,47
13315,2556,Canada,2026-05-31,2026-06-15,81,592,68
13316,1428,United States,2026-07-07,2026-07-17,218,1528,52
13317,2593,Thailand,2025-08-18,2025-09-02,54,1759,88
13318,2094,Saudi Arabia,2025-12-20,2026-01-01,293,956,59
13319,1640,United States,2026-02-20,2026-02-28,106,1450,0
13320,2095,Thailand,2025-09-05,2025-09-12,40,464,39
13321,2494,Japan,2025-10-09,2025-10-23,258,1892,95
13322,2101,United Arab Emirates,2026-01-05,2026-01-16,183,1065,46
13323,1243,Thailand,2026-06-26,2026-06-27,214,440,78
13324,2462,United States,2025-11-03,2025-11-17,127,703,41
13325,1703,Japan,2025-09-22,2025-10-10,156,658,91
13326,1996,United Arab Emirates,2026-05-26,2026-06-02,259,1229,7
13327,2401,Australia,2025-12-06,2025-12-10,51,1061,83
13328,2147,Malaysia,2025-09-19,2025-10-07,265,462,61
13329,1875,Canada,2025-10-20,2025-11-02,27,914,95
13330,1339,United States,2026-02-12,2026-02-28,34,1632,64
13331,2331,Germany,2025-12-07,2025-12-23,196,1006,91
13332,1641,Singapore,2026-05-12,2026-06-01,212,1838,7
13333,2179,Germany,2026-07-16,2026-07-29,9,717,18
13334,1601,Australia,2026-07-04,2026-07-22,6,767,39
13335,1794,United Kingdom,2025-09-30,2025-10-08,43,804,84
13336,1859,Singapore,2025-09-21,2025-09-28,138,1563,85
13337,2126,Germany,2026-03-13,2026-03-20,20,442,53
13338,1546,Malaysia,2025-08-23,2025-09-11,117,896,69
13339,2638,Saudi Arabia,2026-06-02,2026-06-14,241,1237,52
13340,2578,Saudi Arabia,2025-11-16,2025-11-26,130,1565,27
13341,2693,Saudi Arabia,2025-11-03,2025-11-10,41,583,28
13342,2280,United Arab Emirates,2025-10-20,2025-11-08,197,1430,32
13343,1634,Saudi Arabia,2025-09-08,2025-09-17,62,711,63
13344,2303,United Kingdom,2025-12-07,2025-12-27,213,12,41
13345,1661,Malaysia,2026-02-24,2026-03-08,187,1001,59
13346,1968,Canada,2026-06-14,2026-07-04,246,1503,38
13347,1470,United Kingdom,2025-11-05,2025-11-25,70,380,5
13348,1255,United Kingdom,2025-08-09,2025-08-19,300,1609,87
13349,2576,United Arab Emirates,2026-07-15,2026-08-02,215,1869,74
13350,1332,France,2025-11-23,2025-11-29,78,1919,51
13351,2325,Japan,2025-10-14,2025-10-20,189,1144,69
13352,1824,Saudi Arabia,2025-11-20,2025-11-25,81,517,80
13353,1216,Germany,2026-04-30,2026-05-10,20,1701,44
13354,2406,Qatar,2026-06-16,2026-06-19,196,65,16
13355,2517,Qatar,2026-04-12,2026-04-27,83,171,18
13356,1194,Germany,2026-05-01,2026-05-02,268,109,59
13357,2453,Singapore,2026-06-26,2026-07-16,248,1629,52
13358,2549,Australia,2025-10-12,2025-10-19,264,1509,90
13359,1758,Germany,2025-09-26,2025-10-04,101,42,62
13360,2044,United States,2026-05-04,2026-05-19,139,616,24
13361,2131,Singapore,2025-08-21,2025-09-01,152,1423,31
13362,1532,Canada,2026-02-11,2026-02-15,100,699,45
13363,2047,United States,2026-04-10,2026-04-24,180,368,52
13364,2505,United Arab Emirates,2025-12-15,2025-12-30,204,1931,54
13365,1999,Thailand,2026-04-21,2026-05-03,201,1584,32
13366,2696,Canada,2026-07-13,2026-08-01,85,955,29
13367,1672,Canada,2026-02-16,2026-03-01,63,345,11
13368,2489,Germany,2026-05-30,2026-06-12,120,1496,86
13369,2394,Germany,2026-06-07,2026-06-12,180,1143,87
13370,1533,France,2026-05-17,2026-06-05,206,428,83
13371,1493,France,2026-03-15,2026-03-16,62,484,58
13372,1585,Malaysia,2026-03-05,2026-03-11,123,214,91
13373,1447,Canada,2026-02-09,2026-02-23,292,729,90
13374,2319,Qatar,2025-11-07,2025-11-18,91,428,13
13375,1027,Australia,2026-05-17,2026-05-18,256,530,28
13376,1330,Saudi Arabia,2026-05-09,2026-05-14,213,1730,48
13377,2016,Canada,2026-05-27,2026-06-13,155,1526,75
13378,1773,France,2025-09-29,2025-10-06,184,1319,88
13379,1409,Canada,2025-10-07,2025-10-19,83,900,76
13380,2551,United States,2026-03-07,2026-03-15,262,1353,26
13381,2315,France,2025-10-30,2025-11-11,53,1531,50
13382,1148,United Arab Emirates,2026-01-21,2026-01-26,240,1120,88
13383,1229,Canada,2026-02-17,2026-03-09,55,1074,1
13384,1132,Germany,2025-11-12,2025-12-02,253,1039,2
13385,2416,Australia,2026-05-14,2026-05-23,4,691,70
13386,1662,Australia,2025-11-27,2025-12-10,73,497,66
13387,1733,Australia,2026-07-07,2026-07-27,208,1082,47
13388,1085,Saudi Arabia,2025-10-10,2025-10-20,278,913,99
13389,2671,United Arab Emirates,2025-11-14,2025-11-30,260,1344,67
13390,2719,United States,2026-05-19,2026-05-28,141,1981,83
13391,1792,France,2026-03-30,2026-04-10,224,503,10
13392,2490,United Arab Emirates,2025-09-26,2025-10-07,125,237,44
13393,2291,Malaysia,2025-11-12,2025-11-23,95,785,99
13394,2237,Australia,2026-07-21,2026-08-05,54,99,6
13395,1157,Singapore,2025-10-13,2025-10-22,156,1003,15
13396,1802,Qatar,2025-10-18,2025-11-01,25,1716,30
13397,2350,United Arab Emirates,2026-08-01,2026-08-15,30,117,14
13398,1728,Canada,2026-02-19,2026-03-04,165,1275,36
13399,1373,Germany,2026-03-18,2026-03-29,104,801,97
13400,2469,France,2025-10-28,2025-11-13,126,905,26
13401,1919,Saudi Arabia,2025-11-29,2025-12-08,78,279,70
13402,1916,Australia,2026-05-10,2026-05-15,0,360,66
13403,1273,France,2026-04-10,2026-04-22,40,1995,30
13404,2205,United States,2026-01-21,2026-01-28,106,147,13
13405,2639,Japan,2026-02-16,2026-02-24,129,1385,47
13406,2736,Qatar,2025-10-31,2025-11-10,221,1706,87
13407,2429,Thailand,2025-12-10,2025-12-21,164,894,18
13408,2532,France,2025-11-12,2025-12-02,297,1755,58
13409,1611,United Kingdom,2025-11-07,2025-11-11,121,1531,94
13410,2601,Australia,2025-11-11,2025-11-18,29,1823,90
13411,2337,Saudi Arabia,2026-06-04,2026-06-08,125,511,82
13412,1561,Australia,2025-12-08,2025-12-28,118,1269,7
13413,1656,France,2025-09-29,2025-10-18,257,1668,46
13414,1938,Qatar,2026-05-21,2026-05-23,209,392,11
13415,2607,Japan,2025-10-01,2025-10-14,267,720,13
13416,2001,France,2026-03-21,2026-03-23,82,1930,48
13417,2528,Malaysia,2025-09-29,2025-10-09,269,193,9
13418,1639,Singapore,2026-03-28,2026-04-13,3,325,71
13419,1499,United Arab Emirates,2026-03-01,2026-03-09,174,1366,65
13420,1348,Singapore,2026-04-23,2026-05-06,22,1950,39
13421,1056,Germany,2026-02-20,2026-03-11,202,219,84
13422,2138,Qatar,2025-08-10,2025-08-14,241,446,46
13423,1072,United Kingdom,2025-11-20,2025-12-05,159,847,55
13424,2108,France,2025-11-21,2025-11-29,120,375,47
13425,2137,Singapore,2026-06-02,2026-06-13,116,979,29
13426,2631,Qatar,2026-07-15,2026-07-24,57,1027,39
13427,1174,Thailand,2026-04-27,2026-05-07,58,1823,72
13428,1700,United Arab Emirates,2026-04-02,2026-04-22,257,343,79
13429,1759,United Kingdom,2026-06-01,2026-06-16,219,323,22
13430,2263,France,2025-08-23,2025-08-26,299,1320,34
13431,2721,Saudi Arabia,2026-02-15,2026-02-17,98,1671,86
13432,1187,United States,2025-10-01,2025-10-14,144,1271,18
13433,1207,United Arab Emirates,2025-11-07,2025-11-22,110,1073,36
13434,1784,Australia,2026-08-05,2026-08-12,102,538,77
13435,1155,Qatar,2026-06-18,2026-06-24,95,1736,79
13436,2246,Singapore,2025-09-18,2025-09-30,259,1429,27
13437,2643,Saudi Arabia,2025-10-24,2025-11-08,101,438,35
13438,1974,Qatar,2025-11-24,2025-12-10,136,1315,81
