invoice_id,customer_id,billing_cycle_start,billing_cycle_end,plan_charge,usage_charge,vas_charge,tax_gst,late_fee,total_amount,due_date,payment_status
5040,1013,2026-06-01,2026-06-30,149.00,45.39,29.00,40.21,26.63,290.23,2026-07-15,Overdue
5041,1013,2026-07-01,2026-07-31,149.00,20.77,0.00,30.56,0.00,200.33,2026-08-15,Unpaid
5042,1013,2026-08-01,2026-08-31,149.00,94.12,49.00,52.58,0.00,344.70,2026-09-15,Paid
5043,1018,2026-03-01,2026-03-31,699.00,87.11,49.00,150.32,0.00,985.43,2026-04-15,Paid
5044,1018,2026-04-01,2026-04-30,699.00,64.19,99.00,155.19,0.00,1017.38,2026-05-15,Paid
5045,1018,2026-05-01,2026-05-31,699.00,85.27,0.00,141.17,0.00,925.44,2026-06-15,Paid
5046,1018,2026-06-01,2026-06-30,699.00,24.98,0.00,130.32,0.00,854.30,2026-07-15,Paid
5047,1018,2026-07-01,2026-07-31,699.00,53.73,99.00,153.31,0.00,1005.04,2026-08-15,Unpaid
5048,1018,2026-08-01,2026-08-31,699.00,49.59,29.00,139.97,0.00,917.56,2026-09-15,Unpaid
5049,1022,2026-03-01,2026-03-31,179.00,82.14,0.00,47.01,0.00,308.15,2026-04-15,Paid
5050,1022,2026-04-01,2026-04-30,179.00,30.07,19.00,41.05,0.00,269.12,2026-05-15,Paid
5051,1022,2026-05-01,2026-05-31,179.00,12.01,29.00,39.60,0.00,259.61,2026-06-15,Paid
5052,1022,2026-06-01,2026-06-30,179.00,87.74,99.00,65.83,0.00,431.57,2026-07-15,Paid
5053,1022,2026-07-01,2026-07-31,179.00,60.55,29.00,48.34,0.00,316.89,2026-08-15,Unpaid
5054,1022,2026-08-01,2026-08-31,179.00,5.21,29.00,38.38,0.00,251.59,2026-09-15,Unpaid
5055,1025,2026-03-01,2026-03-31,399.00,78.71,0.00,85.99,0.00,563.70,2026-04-15,Paid
5056,1025,2026-04-01,2026-04-30,399.00,23.77,29.00,81.32,0.00,533.09,2026-05-15,Paid
5057,1025,2026-05-01,2026-05-31,399.00,22.76,0.00,75.92,0.00,497.68,2026-06-15,Paid
5058,1025,2026-06-01,2026-06-30,399.00,63.39,0.00,83.23,44.13,589.75,2026-07-15,Overdue
5059,1025,2026-07-01,2026-07-31,399.00,15.77,19.00,78.08,0.00,511.85,2026-08-15,Paid
5060,1025,2026-08-01,2026-08-31,399.00,4.52,0.00,72.63,0.00,476.15,2026-09-15,Unpaid
5061,1026,2026-03-01,2026-03-31,949.00,33.72,0.00,176.89,0.00,1159.61,2026-04-15,Unpaid
5062,1026,2026-04-01,2026-04-30,949.00,14.07,99.00,191.17,0.00,1253.24,2026-05-15,Paid
5063,1026,2026-05-01,2026-05-31,949.00,2.14,0.00,171.21,75.60,1197.95,2026-06-15,Overdue
5064,1026,2026-06-01,2026-06-30,949.00,31.99,29.00,181.80,0.00,1191.79,2026-07-15,Paid
5065,1026,2026-07-01,2026-07-31,949.00,4.94,29.00,176.93,0.00,1159.87,2026-08-15,Unpaid
5066,1026,2026-08-01,2026-08-31,949.00,95.62,0.00,188.03,0.00,1232.65,2026-09-15,Unpaid
5067,1028,2026-03-01,2026-03-31,179.00,55.35,0.00,42.18,0.00,276.53,2026-04-15,Paid
5068,1028,2026-04-01,2026-04-30,179.00,18.80,99.00,53.42,73.10,423.32,2026-05-15,Overdue
5069,1028,2026-05-01,2026-05-31,179.00,41.25,49.00,48.46,56.13,373.84,2026-06-15,Overdue
5070,1028,2026-06-01,2026-06-30,179.00,63.04,0.00,43.57,0.00,285.61,2026-07-15,Paid
5071,1028,2026-07-01,2026-07-31,179.00,85.04,49.00,56.35,0.00,369.39,2026-08-15,Unpaid
5072,1028,2026-08-01,2026-08-31,179.00,45.11,0.00,40.34,0.00,264.45,2026-09-15,Unpaid
5073,1036,2026-03-01,2026-03-31,899.00,1.87,0.00,162.16,0.00,1063.03,2026-04-15,Paid
5074,1036,2026-04-01,2026-04-30,899.00,92.64,29.00,183.72,0.00,1204.36,2026-05-15,Paid
5075,1036,2026-05-01,2026-05-31,899.00,89.54,0.00,177.94,0.00,1166.48,2026-06-15,Paid
5076,1036,2026-06-01,2026-06-30,899.00,20.04,29.00,170.65,0.00,1118.69,2026-07-15,Paid
5077,1036,2026-07-01,2026-07-31,899.00,79.44,29.00,181.34,0.00,1188.78,2026-08-15,Unpaid
5078,1036,2026-08-01,2026-08-31,899.00,38.09,19.00,172.10,0.00,1128.19,2026-09-15,Unpaid
5079,1038,2026-03-01,2026-03-31,949.00,59.05,29.00,186.67,0.00,1223.72,2026-04-15,Paid
5080,1038,2026-04-01,2026-04-30,949.00,7.81,0.00,172.23,0.00,1129.04,2026-05-15,Paid
5081,1038,2026-05-01,2026-05-31,949.00,71.63,49.00,192.53,37.67,1299.83,2026-06-15,Overdue
5082,1038,2026-06-01,2026-06-30,949.00,92.86,49.00,196.35,0.00,1287.21,2026-07-15,Paid
5083,1038,2026-07-01,2026-07-31,949.00,70.23,49.00,192.28,0.00,1260.51,2026-08-15,Paid
5084,1038,2026-08-01,2026-08-31,949.00,58.45,19.00,184.76,0.00,1211.21,2026-09-15,Paid
5085,1040,2026-03-01,2026-03-31,149.00,97.82,0.00,44.43,0.00,291.25,2026-04-15,Paid
5086,1040,2026-04-01,2026-04-30,149.00,79.91,99.00,59.02,45.26,432.19,2026-05-15,Overdue
5087,1040,2026-05-01,2026-05-31,149.00,34.36,0.00,33.00,0.00,216.36,2026-06-15,Paid
5088,1040,2026-06-01,2026-06-30,149.00,26.27,0.00,31.55,0.00,206.82,2026-07-15,Paid
5089,1040,2026-07-01,2026-07-31,149.00,89.45,49.00,51.74,0.00,339.19,2026-08-15,Unpaid
5090,1040,2026-08-01,2026-08-31,149.00,6.23,0.00,27.94,0.00,183.17,2026-09-15,Unpaid
5091,1045,2026-03-01,2026-03-31,239.00,19.93,0.00,46.61,35.69,341.23,2026-04-15,Overdue
5092,1045,2026-04-01,2026-04-30,239.00,64.05,49.00,63.37,0.00,415.42,2026-05-15,Paid
5093,1045,2026-05-01,2026-05-31,239.00,50.44,0.00,52.10,0.00,341.54,2026-06-15,Paid
5094,1045,2026-06-01,2026-06-30,239.00,61.66,99.00,71.94,0.00,471.60,2026-07-15,Paid
5095,1045,2026-07-01,2026-07-31,239.00,43.44,19.00,54.26,0.00,355.70,2026-08-15,Unpaid
5096,1045,2026-08-01,2026-08-31,239.00,61.93,49.00,62.99,0.00,412.92,2026-09-15,Paid
5097,1047,2026-03-01,2026-03-31,849.00,48.45,0.00,161.54,0.00,1058.99,2026-04-15,Paid
5098,1047,2026-04-01,2026-04-30,849.00,94.82,29.00,175.11,0.00,1147.93,2026-05-15,Paid
5099,1047,2026-05-01,2026-05-31,849.00,48.85,0.00,161.61,0.00,1059.46,2026-06-15,Paid
5100,1047,2026-06-01,2026-06-30,849.00,95.89,29.00,175.30,0.00,1149.19,2026-07-15,Unpaid
5101,1047,2026-07-01,2026-07-31,849.00,42.92,19.00,163.97,0.00,1074.89,2026-08-15,Unpaid
5102,1047,2026-08-01,2026-08-31,849.00,62.59,0.00,164.09,0.00,1075.68,2026-09-15,Paid
5103,1057,2026-03-01,2026-03-31,179.00,13.24,99.00,52.42,82.48,426.14,2026-04-15,Overdue
5104,1057,2026-04-01,2026-04-30,179.00,85.89,0.00,47.68,0.00,312.57,2026-05-15,Paid
5105,1057,2026-05-01,2026-05-31,179.00,27.76,49.00,46.04,0.00,301.80,2026-06-15,Paid
5106,1057,2026-06-01,2026-06-30,179.00,91.11,0.00,48.62,0.00,318.73,2026-07-15,Paid
5107,1057,2026-07-01,2026-07-31,179.00,52.12,49.00,50.42,0.00,330.54,2026-08-15,Paid
5108,1057,2026-08-01,2026-08-31,179.00,86.08,0.00,47.71,0.00,312.79,2026-09-15,Unpaid
5109,1061,2026-03-01,2026-03-31,499.00,83.65,0.00,104.88,0.00,687.53,2026-04-15,Paid
5110,1061,2026-04-01,2026-04-30,499.00,64.78,49.00,110.30,0.00,723.08,2026-05-15,Unpaid
5111,1061,2026-05-01,2026-05-31,499.00,89.13,29.00,111.08,0.00,728.21,2026-06-15,Paid
5112,1061,2026-06-01,2026-06-30,499.00,58.91,19.00,103.84,44.24,724.99,2026-07-15,Overdue
5113,1061,2026-07-01,2026-07-31,499.00,1.69,99.00,107.94,0.00,707.63,2026-08-15,Unpaid
5114,1061,2026-08-01,2026-08-31,499.00,23.99,0.00,94.14,0.00,617.13,2026-09-15,Paid
5115,1066,2026-03-01,2026-03-31,299.00,14.67,29.00,61.68,0.00,404.35,2026-04-15,Paid
5116,1066,2026-04-01,2026-04-30,299.00,78.60,0.00,67.97,0.00,445.57,2026-05-15,Paid
5117,1066,2026-05-01,2026-05-31,299.00,79.84,49.00,77.01,0.00,504.85,2026-06-15,Unpaid
5118,1066,2026-06-01,2026-06-30,299.00,92.01,0.00,70.38,0.00,461.39,2026-07-15,Unpaid
5119,1066,2026-07-01,2026-07-31,299.00,15.74,49.00,65.47,0.00,429.21,2026-08-15,Paid
5120,1066,2026-08-01,2026-08-31,299.00,90.04,29.00,75.25,0.00,493.29,2026-09-15,Paid
5121,1069,2026-03-01,2026-03-31,649.00,35.77,49.00,132.08,0.00,865.85,2026-04-15,Unpaid
5122,1069,2026-04-01,2026-04-30,649.00,92.29,19.00,136.85,0.00,897.14,2026-05-15,Paid
5123,1069,2026-05-01,2026-05-31,649.00,26.48,0.00,121.59,94.75,891.82,2026-06-15,Overdue
5124,1069,2026-06-01,2026-06-30,649.00,44.51,29.00,130.05,0.00,852.56,2026-07-15,Paid
5125,1069,2026-07-01,2026-07-31,649.00,85.71,19.00,135.67,0.00,889.38,2026-08-15,Unpaid
5126,1069,2026-08-01,2026-08-31,649.00,29.54,0.00,122.14,0.00,800.68,2026-09-15,Unpaid
5127,1073,2026-03-01,2026-03-31,149.00,35.75,0.00,33.25,0.00,218.00,2026-04-15,Paid
5128,1073,2026-04-01,2026-04-30,149.00,60.83,19.00,41.19,0.00,270.02,2026-05-15,Paid
5129,1073,2026-05-01,2026-05-31,149.00,30.88,0.00,32.38,0.00,212.26,2026-06-15,Paid
5130,1073,2026-06-01,2026-06-30,149.00,47.23,29.00,40.54,0.00,265.77,2026-07-15,Paid
5131,1073,2026-07-01,2026-07-31,149.00,51.38,0.00,36.07,0.00,236.45,2026-08-15,Unpaid
5132,1073,2026-08-01,2026-08-31,149.00,91.12,0.00,43.22,0.00,283.34,2026-09-15,Paid
5133,1074,2026-03-01,2026-03-31,949.00,45.76,0.00,179.06,0.00,1173.82,2026-04-15,Paid
5134,1074,2026-04-01,2026-04-30,949.00,34.98,99.00,194.94,0.00,1277.92,2026-05-15,Paid
5135,1074,2026-05-01,2026-05-31,949.00,83.11,99.00,203.60,0.00,1334.71,2026-06-15,Paid
5136,1074,2026-06-01,2026-06-30,949.00,73.41,0.00,184.03,0.00,1206.44,2026-07-15,Paid
5137,1074,2026-07-01,2026-07-31,949.00,63.25,19.00,185.62,0.00,1216.87,2026-08-15,Unpaid
5138,1074,2026-08-01,2026-08-31,949.00,11.48,29.00,178.11,0.00,1167.59,2026-09-15,Unpaid
5139,1077,2026-03-01,2026-03-31,949.00,59.02,0.00,181.44,0.00,1189.46,2026-04-15,Paid
5140,1077,2026-04-01,2026-04-30,949.00,78.09,99.00,202.70,37.21,1366.00,2026-05-15,Overdue
5141,1077,2026-05-01,2026-05-31,949.00,87.33,29.00,191.76,0.00,1257.09,2026-06-15,Paid
5142,1077,2026-06-01,2026-06-30,949.00,76.41,19.00,187.99,0.00,1232.40,2026-07-15,Paid
5143,1077,2026-07-01,2026-07-31,949.00,16.11,0.00,173.72,0.00,1138.83,2026-08-15,Paid
5144,1077,2026-08-01,2026-08-31,949.00,92.12,0.00,187.40,0.00,1228.52,2026-09-15,Unpaid
5145,1078,2026-03-01,2026-03-31,649.00,47.38,99.00,143.17,0.00,938.55,2026-04-15,Paid
5146,1078,2026-04-01,2026-04-30,649.00,42.37,19.00,127.87,0.00,838.24,2026-05-15,Paid
5147,1078,2026-05-01,2026-05-31,649.00,74.37,0.00,130.21,0.00,853.58,2026-06-15,Paid
5148,1078,2026-06-01,2026-06-30,649.00,47.40,29.00,130.57,0.00,855.97,2026-07-15,Unpaid
5149,1078,2026-07-01,2026-07-31,649.00,84.87,29.00,137.32,0.00,900.19,2026-08-15,Unpaid
5150,1078,2026-08-01,2026-08-31,649.00,39.84,0.00,123.99,0.00,812.83,2026-09-15,Paid
5151,1080,2026-03-01,2026-03-31,479.00,39.80,49.00,102.20,0.00,670.00,2026-04-15,Paid
5152,1080,2026-04-01,2026-04-30,479.00,66.91,29.00,103.48,71.20,749.59,2026-05-15,Overdue
5153,1080,2026-05-01,2026-05-31,479.00,74.54,29.00,104.86,0.00,687.40,2026-06-15,Paid
5154,1080,2026-06-01,2026-06-30,479.00,2.31,49.00,95.46,0.00,625.77,2026-07-15,Paid
5155,1080,2026-07-01,2026-07-31,479.00,57.08,0.00,96.49,0.00,632.57,2026-08-15,Unpaid
5156,1080,2026-08-01,2026-08-31,479.00,70.14,49.00,107.67,0.00,705.81,2026-09-15,Unpaid
5157,1084,2026-03-01,2026-03-31,249.00,4.25,0.00,45.59,43.94,342.78,2026-04-15,Overdue
5158,1084,2026-04-01,2026-04-30,249.00,59.87,49.00,64.42,0.00,422.29,2026-05-15,Paid
5159,1084,2026-05-01,2026-05-31,249.00,22.62,29.00,54.11,0.00,354.73,2026-06-15,Paid
5160,1084,2026-06-01,2026-06-30,249.00,20.39,0.00,48.49,0.00,317.88,2026-07-15,Paid
5161,1084,2026-07-01,2026-07-31,249.00,43.28,0.00,52.61,0.00,344.89,2026-08-15,Unpaid
5162,1084,2026-08-01,2026-08-31,249.00,99.41,0.00,62.71,0.00,411.12,2026-09-15,Unpaid
5163,1085,2026-03-01,2026-03-31,149.00,94.70,0.00,43.87,0.00,287.57,2026-04-15,Unpaid
5164,1085,2026-04-01,2026-04-30,149.00,23.04,19.00,34.39,0.00,225.43,2026-05-15,Unpaid
5165,1085,2026-05-01,2026-05-31,149.00,9.71,0.00,28.57,0.00,187.28,2026-06-15,Unpaid
5166,1085,2026-06-01,2026-06-30,149.00,73.70,0.00,40.09,0.00,262.79,2026-07-15,Paid
5167,1085,2026-07-01,2026-07-31,149.00,77.36,0.00,40.74,0.00,267.10,2026-08-15,Paid
5168,1085,2026-08-01,2026-08-31,149.00,97.36,49.00,53.16,0.00,348.52,2026-09-15,Unpaid
5169,1089,2026-03-01,2026-03-31,99.00,72.50,29.00,36.09,0.00,236.59,2026-04-15,Paid
5170,1089,2026-04-01,2026-04-30,99.00,59.65,0.00,28.56,90.12,277.33,2026-05-15,Overdue
5171,1089,2026-05-01,2026-05-31,99.00,3.59,0.00,18.47,0.00,121.06,2026-06-15,Paid
5172,1089,2026-06-01,2026-06-30,99.00,70.42,0.00,30.50,0.00,199.92,2026-07-15,Paid
5173,1089,2026-07-01,2026-07-31,99.00,41.94,0.00,25.37,0.00,166.31,2026-08-15,Unpaid
5174,1089,2026-08-01,2026-08-31,99.00,71.99,99.00,48.60,0.00,318.59,2026-09-15,Unpaid
5175,1091,2026-03-01,2026-03-31,899.00,49.69,29.00,175.98,23.89,1177.56,2026-04-15,Overdue
5176,1091,2026-04-01,2026-04-30,899.00,37.67,29.00,173.82,0.00,1139.49,2026-05-15,Paid
5177,1091,2026-05-01,2026-05-31,899.00,58.73,29.00,177.61,0.00,1164.34,2026-06-15,Paid
5178,1091,2026-06-01,2026-06-30,899.00,34.25,0.00,167.98,0.00,1101.23,2026-07-15,Paid
5179,1091,2026-07-01,2026-07-31,899.00,30.28,99.00,185.09,0.00,1213.37,2026-08-15,Unpaid
5180,1091,2026-08-01,2026-08-31,899.00,66.97,99.00,191.69,0.00,1256.66,2026-09-15,Paid
5181,1092,2026-03-01,2026-03-31,399.00,46.99,99.00,98.10,0.00,643.09,2026-04-15,Paid
5182,1092,2026-04-01,2026-04-30,399.00,51.42,99.00,98.90,0.00,648.32,2026-05-15,Unpaid
5183,1092,2026-05-01,2026-05-31,399.00,1.73,0.00,72.13,0.00,472.86,2026-06-15,Paid
5184,1092,2026-06-01,2026-06-30,399.00,67.09,29.00,89.12,0.00,584.21,2026-07-15,Paid
5185,1092,2026-07-01,2026-07-31,399.00,46.95,99.00,98.09,0.00,643.04,2026-08-15,Paid
5186,1092,2026-08-01,2026-08-31,399.00,70.46,0.00,84.50,0.00,553.96,2026-09-15,Unpaid
5187,1095,2026-03-01,2026-03-31,149.00,73.36,0.00,40.02,0.00,262.38,2026-04-15,Paid
5188,1095,2026-04-01,2026-04-30,149.00,72.49,49.00,48.69,82.87,402.05,2026-05-15,Overdue
5189,1095,2026-05-01,2026-05-31,149.00,73.21,29.00,45.22,0.00,296.43,2026-06-15,Unpaid
5190,1095,2026-06-01,2026-06-30,149.00,81.47,0.00,41.48,0.00,271.95,2026-07-15,Paid
5191,1095,2026-07-01,2026-07-31,149.00,35.17,0.00,33.15,0.00,217.32,2026-08-15,Paid
5192,1095,2026-08-01,2026-08-31,149.00,84.63,19.00,45.47,0.00,298.10,2026-09-15,Unpaid
5193,1097,2026-03-01,2026-03-31,179.00,23.08,0.00,36.37,0.00,238.45,2026-04-15,Paid
5194,1097,2026-04-01,2026-04-30,179.00,7.83,0.00,33.63,96.53,316.99,2026-05-15,Overdue
5195,1097,2026-05-01,2026-05-31,179.00,50.47,99.00,59.12,50.13,437.72,2026-06-15,Overdue
5196,1097,2026-06-01,2026-06-30,179.00,52.95,19.00,45.17,0.00,296.12,2026-07-15,Paid
5197,1097,2026-07-01,2026-07-31,179.00,52.08,0.00,41.59,0.00,272.67,2026-08-15,Unpaid
5198,1097,2026-08-01,2026-08-31,179.00,32.27,0.00,38.03,0.00,249.30,2026-09-15,Paid
5199,1102,2026-03-01,2026-03-31,149.00,50.08,19.00,39.25,0.00,257.33,2026-04-15,Paid
5200,1102,2026-04-01,2026-04-30,149.00,30.83,29.00,37.59,0.00,246.42,2026-05-15,Paid
5201,1102,2026-05-01,2026-05-31,149.00,80.77,19.00,44.78,0.00,293.55,2026-06-15,Paid
5202,1102,2026-06-01,2026-06-30,149.00,81.91,49.00,50.38,0.00,330.29,2026-07-15,Unpaid
5203,1102,2026-07-01,2026-07-31,149.00,85.52,0.00,42.21,0.00,276.73,2026-08-15,Unpaid
5204,1102,2026-08-01,2026-08-31,149.00,77.32,0.00,40.74,0.00,267.06,2026-09-15,Unpaid
5205,1104,2026-03-01,2026-03-31,179.00,10.09,0.00,34.04,0.00,223.13,2026-04-15,Paid
5206,1104,2026-04-01,2026-04-30,179.00,47.31,0.00,40.74,0.00,267.05,2026-05-15,Unpaid
5207,1104,2026-05-01,2026-05-31,179.00,74.61,19.00,49.07,0.00,321.68,2026-06-15,Paid
5208,1104,2026-06-01,2026-06-30,179.00,9.84,29.00,39.21,0.00,257.05,2026-07-15,Paid
5209,1104,2026-07-01,2026-07-31,179.00,72.29,0.00,45.23,0.00,296.52,2026-08-15,Unpaid
5210,1104,2026-08-01,2026-08-31,179.00,98.03,19.00,53.29,0.00,349.32,2026-09-15,Unpaid
5211,1105,2026-03-01,2026-03-31,299.00,12.52,0.00,56.07,0.00,367.59,2026-04-15,Paid
5212,1105,2026-04-01,2026-04-30,299.00,88.35,99.00,87.54,0.00,573.89,2026-05-15,Paid
5213,1105,2026-05-01,2026-05-31,299.00,72.92,0.00,66.95,0.00,438.87,2026-06-15,Paid
5214,1105,2026-06-01,2026-06-30,299.00,81.47,99.00,86.30,0.00,565.77,2026-07-15,Paid
5215,1105,2026-07-01,2026-07-31,299.00,60.56,0.00,64.72,0.00,424.28,2026-08-15,Unpaid
5216,1105,2026-08-01,2026-08-31,299.00,75.24,29.00,72.58,0.00,475.82,2026-09-15,Paid
5217,1106,2026-03-01,2026-03-31,849.00,27.89,99.00,175.66,0.00,1151.55,2026-04-15,Paid
5218,1106,2026-04-01,2026-04-30,849.00,30.58,0.00,158.32,0.00,1037.90,2026-05-15,Unpaid
5219,1106,2026-05-01,2026-05-31,849.00,86.29,49.00,177.17,0.00,1161.46,2026-06-15,Paid
5220,1106,2026-06-01,2026-06-30,849.00,54.35,0.00,162.60,0.00,1065.95,2026-07-15,Paid
5221,1106,2026-07-01,2026-07-31,849.00,66.74,29.00,170.05,0.00,1114.79,2026-08-15,Paid
5222,1106,2026-08-01,2026-08-31,849.00,62.79,29.00,169.34,0.00,1110.13,2026-09-15,Unpaid
5223,1107,2026-03-01,2026-03-31,179.00,28.81,29.00,42.63,0.00,279.44,2026-04-15,Unpaid
5224,1107,2026-04-01,2026-04-30,179.00,97.67,19.00,53.22,0.00,348.89,2026-05-15,Paid
5225,1107,2026-05-01,2026-05-31,179.00,67.64,99.00,62.22,0.00,407.86,2026-06-15,Unpaid
5226,1107,2026-06-01,2026-06-30,179.00,1.61,0.00,32.51,42.24,255.36,2026-07-15,Overdue
5227,1107,2026-07-01,2026-07-31,179.00,66.95,49.00,53.09,0.00,348.04,2026-08-15,Paid
5228,1107,2026-08-01,2026-08-31,179.00,32.58,29.00,43.30,0.00,283.88,2026-09-15,Unpaid
5229,1108,2026-03-01,2026-03-31,149.00,79.39,0.00,41.11,0.00,269.50,2026-04-15,Paid
5230,1108,2026-04-01,2026-04-30,149.00,46.54,0.00,35.20,46.81,277.55,2026-05-15,Overdue
5231,1108,2026-05-01,2026-05-31,149.00,11.29,49.00,37.67,0.00,246.96,2026-06-15,Paid
5232,1108,2026-06-01,2026-06-30,149.00,27.91,19.00,35.26,0.00,231.17,2026-07-15,Paid
5233,1108,2026-07-01,2026-07-31,149.00,23.19,49.00,39.81,0.00,261.00,2026-08-15,Unpaid
5234,1108,2026-08-01,2026-08-31,149.00,28.63,29.00,37.19,0.00,243.82,2026-09-15,Paid
5235,1110,2026-03-01,2026-03-31,179.00,13.06,0.00,34.57,0.00,226.63,2026-04-15,Paid
5236,1110,2026-04-01,2026-04-30,179.00,63.43,49.00,52.46,0.00,343.89,2026-05-15,Unpaid
5237,1110,2026-05-01,2026-05-31,179.00,20.58,29.00,41.14,0.00,269.72,2026-06-15,Paid
5238,1110,2026-06-01,2026-06-30,179.00,30.27,29.00,42.89,39.09,320.25,2026-07-15,Overdue
5239,1110,2026-07-01,2026-07-31,179.00,67.40,29.00,49.57,0.00,324.97,2026-08-15,Paid
5240,1110,2026-08-01,2026-08-31,179.00,40.88,99.00,57.40,0.00,376.28,2026-09-15,Unpaid
5241,1113,2026-03-01,2026-03-31,949.00,71.07,19.00,187.03,0.00,1226.10,2026-04-15,Paid
5242,1113,2026-04-01,2026-04-30,949.00,88.79,29.00,192.02,0.00,1258.81,2026-05-15,Paid
5243,1113,2026-05-01,2026-05-31,949.00,49.48,49.00,188.55,27.63,1263.66,2026-06-15,Overdue
5244,1113,2026-06-01,2026-06-30,949.00,69.85,29.00,188.61,0.00,1236.46,2026-07-15,Paid
5245,1113,2026-07-01,2026-07-31,949.00,41.59,19.00,181.73,0.00,1191.32,2026-08-15,Unpaid
5246,1113,2026-08-01,2026-08-31,949.00,57.04,29.00,186.31,0.00,1221.35,2026-09-15,Paid
5247,1114,2026-03-01,2026-03-31,99.00,99.77,29.00,41.00,69.91,338.68,2026-04-15,Overdue
